file_last_modified_date,delivery_code_ref,orga_name,orga_code_ref,file_name,url,study_name,study_code_ref,delivery_name
"2024-02-21T17:23:10.217151+01:00","INVA-1080-6670","Invattur","INVA","Sitges Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-6670/Sitges Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","1. Diciembre 2023 - Enero 2024"
"2024-02-21T17:23:19.133484+01:00","INVA-1080-6670","Invattur","INVA","Benidorm Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-6670/Benidorm Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","1. Diciembre 2023 - Enero 2024"
"2024-11-07T00:36:06.912663+01:00","INVA-1080-5603","Invattur","INVA","Flux Vision_Descripci��n de la metodolog��a_Turismo Invattur para compartir 2024.pdf","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-5603/Flux Vision_Descripci��n de la metodolog��a_Turismo Invattur para compartir 2024.pdf","Invattur - Generalitat Valenciana 2023","INVA-1080","Mapas y documentación adicional"
"2023-10-10T11:11:50.922889+02:00","INVA-1080-5603","Invattur","INVA","Flux Vision_Descripci��n de la metodolog��a_Turismo Gen��rico.pdf","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-5603/Flux Vision_Descripci��n de la metodolog��a_Turismo Gen��rico.pdf","Invattur - Generalitat Valenciana 2023","INVA-1080","Mapas y documentación adicional"
"2023-05-29T12:38:24.969403+02:00","INVA-1080-5603","Invattur","INVA","Flux Vision STO - Categoria de visitantes - Definiciones.pdf","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-5603/Flux Vision STO - Categoria de visitantes - Definiciones.pdf","Invattur - Generalitat Valenciana 2023","INVA-1080","Mapas y documentación adicional"
"2023-05-29T12:38:24.817397+02:00","INVA-1080-5603","Invattur","INVA","FluxVision_Equivalencia_Indicadores_FicherosCSV.pdf","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-5603/FluxVision_Equivalencia_Indicadores_FicherosCSV.pdf","Invattur - Generalitat Valenciana 2023","INVA-1080","Mapas y documentación adicional"
"2024-08-20T00:02:41.389532+02:00","INVA-1080-5603","Invattur","INVA","FluxVision_Invattur2023_MapasCobertura_22zonas.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-5603/FluxVision_Invattur2023_MapasCobertura_22zonas.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","Mapas y documentación adicional"
"2025-01-09T16:22:24.084678+01:00","INVA-1080-5603","Invattur","INVA","FluxVision_Invattur_Km2ZonasEstudio_202501.xlsx","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-5603/FluxVision_Invattur_Km2ZonasEstudio_202501.xlsx","Invattur - Generalitat Valenciana 2023","INVA-1080","Mapas y documentación adicional"
"2024-06-18T18:28:38.773208+02:00","INVA-1080-7170","Invattur","INVA","Valencia Comunidad Autonoma.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Valencia Comunidad Autonoma.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:30.508915+02:00","INVA-1080-7170","Invattur","INVA","Gandia Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Gandia Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
