AGI,SR,-56.68768950,5.7710604000
AGJ,JP,127.23298100,26.590619000
AGK,PG,143.85431300,-6.397121400
AGL,PG,148.21352900,-10.04707800
AGM,GL,-37.63781490,65.615257300
AGN,US,-134.5822400,57.502510000
AGO,US,-73.05103150,44.443232500
AGP,ES,-4.420000600,36.719627400
AGQ,GR,21.409420600,38.624827500
AGR,IN,78.009816100,27.175255400
AGS,US,-83.04302503,42.599646400
AGT,PY,-54.61686450,-25.51690150
AGU,MX,-102.2967195,21.880487000
AGV,VE,-69.20328230,9.5507961000
AGW,AU,120.51753030,-28.01132640
AGX,IN,72.188846840,10.847632100
AGY,AU,128.91749190,-16.50341970
AGZ,ZA,18.840653400,-29.23706760
AHB,SA,42.504359600,18.216428200
AHC,US,-120.1297700,40.143900000
AHE,PF,-146.3937200,-14.56353000
AHF,US,-87.33654146,36.014073450
AHH,US,-92.36214000,45.305980000
AHI,ID,129.00106360,-3.308171700
AHJ,CN,102.54265710,32.793045400
AHL,GY,-59.32114230,2.4777029000
AHM,US,-82.90880410,42.533945750
AHN,US,-83.37312000,33.958160000
AHO,IT,8.3151473000,40.560020500
AHS,HN,-84.35533410,15.475937900
AHU,MA,-3.930186000,35.245114000
AHW,OM,57.274560000,21.450140000
AHY,MG,45.538632200,-20.01254300
AHZ,FR,6.0699443000,45.092401000
AIA,US,-102.8709300,42.097120000
AIC,MH,168.82090600,7.2788932000
AID,US,-82.49321250,38.596191300
AIE,PG,144.73505610,-5.142953300
AIF,BR,-50.42062300,-22.66208920
AIG,CF,23.250074300,6.5103137000
AIH,PG,141.26564220,-7.344385100
AII,DJ,42.698010000,11.153730000
AIK,US,-90.07734950,43.797194600
AIL,PA,-78.02779437,9.2283435500
AIM,MH,169.98204730,10.220450300
AIN,US,-92.33765180,34.208431000
AIO,US,-95.01386000,41.404000000
AIP,IN,78.055288490,20.989700000
AIR,BR,-59.44396630,-10.17580600
AIS,KI,176.82409670,-2.639436000
AIT,CK,-159.7831878,-18.88837815
AIU,CK,-158.1147308,-19.99519540
AIV,US,-88.15310000,33.129430000
AIW,NA,17.489801900,-27.91982340
AIX,FR,5.4474738000,43.529842400
AIZ,US,-92.62270000,38.180290000
AJA,FR,8.7376029000,41.926399100
AJF,SA,40.011440640,29.776441150
AJI,TR,43.050489400,39.719125000
AJJ,MR,-14.38552380,19.743580400
AJK,IR,49.689388400,34.086271900
AJL,IN,92.738290500,23.743523600
AJN,KM,44.410704860,-12.22656805
AJR,SE,19.250000000,65.666667000
AJS,MX,-113.5737879,26.714850900
AJU,BR,-37.07746550,-10.91620610
AJY,NE,7.9907390000,16.972556000
AKA,CN,108.99129890,32.716518400
AKB,US,-174.1971200,52.194800000
CAK,US,-81.45773212,40.912671000
AKD,IN,77.002632000,20.711660400
AKE,GA,12.922630000,-0.606792700
AKF,LY,23.403282220,24.180722600
AKG,PG,142.21884800,-3.563503000
AKH,SA,47.291111000,24.153889000
AKI,US,-111.9840139,33.446007300
AKJ,JP,142.36497430,43.770625000
AKK,US,-152.3652200,57.809340000
AKL,NZ,174.76318030,-36.85209500
AKM,TD,19.820382000,10.891736700
AKN,US,-156.7038200,58.697530000
AKO,US,-107.5824333,34.896022900
AKP,US,-150.9902200,70.218730000
AKQ,ID,114.00997930,-0.199674000
AKR,NG,5.1932647000,7.2525595000
AKS,SB,160.69926550,-8.770607400
AKT,CY,34.043507360,35.328307900
AKU,CN,79.555384000,41.654282600
AKV,CA,-78.19021980,60.809148900
AKW,IR,49.828533600,30.699564700
AKX,KZ,57.416860000,49.482900000
AKY,MM,92.900000000,20.150000000
ALA,KZ,76.945727500,43.236392400
ALB,US,-121.6993621,48.170467700
ALD,PE,-69.19920600,-11.69984060
ALE,US,-103.6612100,30.358670000
ALF,NO,23.273328200,69.966604600
ALG,DZ,3.0601882000,36.775360600
ALH,AU,117.88360800,-35.02478220
ALI,US,-98.06504000,27.750780000
ALJ,ZA,16.482647000,-28.59478700
ALK,ET,39.133330000,7.9500000000
ALL,IT,8.2131239000,44.049250300
ALM,US,-94.46141770,44.314026100
ALN,US,-117.9608062,33.728121650
ALO,US,-156.1985629,20.851416300
ALP,SY,37.163725300,36.199240000
ALQ,BR,-55.79486200,-29.79016600
ALR,NZ,169.38708360,-45.25356830
ALS,US,-150.7286454,68.044793900
ALT,BR,-54.73835500,-1.946229000
ALU,SO,50.757147200,11.966427500
ALV,AD,1.5212467000,42.506939100
ALW,US,-118.3426100,46.070680000
ALX,US,-85.95295000,32.938840000
ALY,EG,29.895171600,31.199180600
ALZ,US,-152.5894600,57.712050000
AMA,US,-90.29646740,29.952149100
AMB,MG,49.049956000,-13.19443900
AMC,TD,20.282642900,11.039636800
AMD,IN,72.579706800,23.021623800
AME,MZ,37.684618600,-15.63250770
AMF,PG,141.66544700,-4.102662000
AMG,PG,143.50608650,-4.606173900
AMH,ET,37.538830000,6.0117500000
AMI,ID,116.10685000,-8.583772600
AMJ,BR,-40.69049070,-16.17406780
DRO,US,-107.8793000,37.273670000
AML,PA,-82.86044580,8.2725603000
AMN,US,-84.65703000,43.378970000
AMO,TD,15.310847100,14.123416100
AMP,MG,44.746388200,-24.69266170
AMQ,ID,128.17878500,-3.695943400
LEI,ES,-2.467904300,36.840095500
AMS,NL,4.8924534000,52.373079600
AMT,AU,131.14698130,-26.15177670
AMU,PG,141.21428070,-3.586136800
AMV,RU,61.662267280,69.752207600
AMW,US,-93.62020000,42.025340000
AMX,AU,135.23869490,-21.75005570
AMY,MG,45.664521000,-17.69538100
AMZ,NZ,174.98311040,-37.03335740
MRE,KE,35.101904000,-1.484750950
ANB,US,-135.3185566,57.054840500
ANC,US,-114.2944997,47.851485100
AND,US,-82.64962000,34.500610000
ANE,FR,-0.551558800,47.473988400
ANF,CL,-70.39800330,-23.64637410
ANG,FR,0.1561947000,45.648450500
ANI,US,-159.6549810,22.159308000
ANJ,CG,13.823442800,-2.850146200
ANK,TR,32.854049700,39.920775900
ANL,AO,16.695905300,-11.48721780
ANM,MG,50.281043300,-14.90123020
ANN,US,-92.19738070,37.030887100
ANO,MZ,39.908111100,-16.22924510
ANP,US,-71.45327757,42.110489000
ANQ,US,-84.99860000,41.634870000
ANR,BE,4.3997081000,51.221109700
ANS,PE,-73.38994590,-13.65640570
ANT,AT,15.209181700,48.691642800
