"2015 - Diciembre","Comunitat Valenciana","Negocio, motivos profesionales","Acumulado en lo que va de año",82602
"2015 - Diciembre","Comunitat Valenciana","Negocio, motivos profesionales","Dato base",19057
"2015 - Diciembre","Comunitat Valenciana","Negocio, motivos profesionales","Tasa de variación acumulada",-
"2015 - Diciembre","Comunitat Valenciana","Negocio, motivos profesionales","Tasa de variación anual",-
"2015 - Diciembre","Comunitat Valenciana","Ocio, recreo y vacaciones","Acumulado en lo que va de año",1026228
"2015 - Diciembre","Comunitat Valenciana","Ocio, recreo y vacaciones","Dato base",245895
"2015 - Diciembre","Comunitat Valenciana","Ocio, recreo y vacaciones","Tasa de variación acumulada",-
"2015 - Diciembre","Comunitat Valenciana","Ocio, recreo y vacaciones","Tasa de variación anual",-
"2015 - Diciembre","Comunitat Valenciana","Otros motivos","Acumulado en lo que va de año",154864
"2015 - Diciembre","Comunitat Valenciana","Otros motivos","Dato base",55308
"2015 - Diciembre","Comunitat Valenciana","Otros motivos","Tasa de variación acumulada",-
"2015 - Diciembre","Comunitat Valenciana","Otros motivos","Tasa de variación anual",-
"2015 - Diciembre","Comunitat Valenciana","Total","Acumulado en lo que va de año",1263694
"2015 - Diciembre","Comunitat Valenciana","Total","Dato base",320260
"2015 - Diciembre","Comunitat Valenciana","Total","Tasa de variación acumulada",-
"2015 - Diciembre","Comunitat Valenciana","Total","Tasa de variación anual",-
"2015 - Noviembre","Comunitat Valenciana","Negocio, motivos profesionales","Acumulado en lo que va de año",63545
"2015 - Noviembre","Comunitat Valenciana","Negocio, motivos profesionales","Dato base",21753
"2015 - Noviembre","Comunitat Valenciana","Negocio, motivos profesionales","Tasa de variación acumulada",-
"2015 - Noviembre","Comunitat Valenciana","Negocio, motivos profesionales","Tasa de variación anual",-
"2015 - Noviembre","Comunitat Valenciana","Ocio, recreo y vacaciones","Acumulado en lo que va de año",780333
"2015 - Noviembre","Comunitat Valenciana","Ocio, recreo y vacaciones","Dato base",265668
"2015 - Noviembre","Comunitat Valenciana","Ocio, recreo y vacaciones","Tasa de variación acumulada",-
"2015 - Noviembre","Comunitat Valenciana","Ocio, recreo y vacaciones","Tasa de variación anual",-
"2015 - Noviembre","Comunitat Valenciana","Otros motivos","Acumulado en lo que va de año",99556
"2015 - Noviembre","Comunitat Valenciana","Otros motivos","Dato base",31869
"2015 - Noviembre","Comunitat Valenciana","Otros motivos","Tasa de variación acumulada",-
"2015 - Noviembre","Comunitat Valenciana","Otros motivos","Tasa de variación anual",-
"2015 - Noviembre","Comunitat Valenciana","Total","Acumulado en lo que va de año",943434
"2015 - Noviembre","Comunitat Valenciana","Total","Dato base",319290
"2015 - Noviembre","Comunitat Valenciana","Total","Tasa de variación acumulada",-
"2015 - Noviembre","Comunitat Valenciana","Total","Tasa de variación anual",-
"2015 - Octubre","Comunitat Valenciana","Negocio, motivos profesionales","Acumulado en lo que va de año",41792
"2015 - Octubre","Comunitat Valenciana","Negocio, motivos profesionales","Dato base",41792
"2015 - Octubre","Comunitat Valenciana","Negocio, motivos profesionales","Tasa de variación acumulada",-
"2015 - Octubre","Comunitat Valenciana","Negocio, motivos profesionales","Tasa de variación anual",-
"2015 - Octubre","Comunitat Valenciana","Ocio, recreo y vacaciones","Acumulado en lo que va de año",514665
"2015 - Octubre","Comunitat Valenciana","Ocio, recreo y vacaciones","Dato base",514665
"2015 - Octubre","Comunitat Valenciana","Ocio, recreo y vacaciones","Tasa de variación acumulada",-
"2015 - Octubre","Comunitat Valenciana","Ocio, recreo y vacaciones","Tasa de variación anual",-
"2015 - Octubre","Comunitat Valenciana","Otros motivos","Acumulado en lo que va de año",67687
"2015 - Octubre","Comunitat Valenciana","Otros motivos","Dato base",67687
"2015 - Octubre","Comunitat Valenciana","Otros motivos","Tasa de variación acumulada",-
"2015 - Octubre","Comunitat Valenciana","Otros motivos","Tasa de variación anual",-
"2015 - Octubre","Comunitat Valenciana","Total","Acumulado en lo que va de año",624144
"2015 - Octubre","Comunitat Valenciana","Total","Dato base",624144
"2015 - Octubre","Comunitat Valenciana","Total","Tasa de variación acumulada",-
"2015 - Octubre","Comunitat Valenciana","Total","Tasa de variación anual",-
"2016 - Abril","Comunitat Valenciana","Negocio, motivos profesionales","Acumulado en lo que va de año",89289
"2016 - Abril","Comunitat Valenciana","Negocio, motivos profesionales","Dato base",20810
"2016 - Abril","Comunitat Valenciana","Negocio, motivos profesionales","Tasa de variación acumulada",-
"2016 - Abril","Comunitat Valenciana","Negocio, motivos profesionales","Tasa de variación anual",-
"2016 - Abril","Comunitat Valenciana","Ocio, recreo y vacaciones","Acumulado en lo que va de año",1447735
"2016 - Abril","Comunitat Valenciana","Ocio, recreo y vacaciones","Dato base",527132
"2016 - Abril","Comunitat Valenciana","Ocio, recreo y vacaciones","Tasa de variación acumulada",-
"2016 - Abril","Comunitat Valenciana","Ocio, recreo y vacaciones","Tasa de variación anual",-
"2016 - Abril","Comunitat Valenciana","Otros motivos","Acumulado en lo que va de año",254413
"2016 - Abril","Comunitat Valenciana","Otros motivos","Dato base",95297
"2016 - Abril","Comunitat Valenciana","Otros motivos","Tasa de variación acumulada",-
"2016 - Abril","Comunitat Valenciana","Otros motivos","Tasa de variación anual",-
"2016 - Abril","Comunitat Valenciana","Total","Acumulado en lo que va de año",1791437
"2016 - Abril","Comunitat Valenciana","Total","Dato base",643239
