"2015 - Diciembre","Comunitat Valenciana","Alemania","Acumulado en lo que va de año",96643
"2015 - Diciembre","Comunitat Valenciana","Alemania","Dato base",18751
"2015 - Diciembre","Comunitat Valenciana","Alemania","Tasa de variación acumulada",-
"2015 - Diciembre","Comunitat Valenciana","Alemania","Tasa de variación anual",-
"2015 - Diciembre","Comunitat Valenciana","Bélgica","Acumulado en lo que va de año",66552
"2015 - Diciembre","Comunitat Valenciana","Bélgica","Dato base",22770
"2015 - Diciembre","Comunitat Valenciana","Bélgica","Tasa de variación acumulada",-
"2015 - Diciembre","Comunitat Valenciana","Bélgica","Tasa de variación anual",-
"2015 - Diciembre","Comunitat Valenciana","Francia","Acumulado en lo que va de año",164752
"2015 - Diciembre","Comunitat Valenciana","Francia","Dato base",36318
"2015 - Diciembre","Comunitat Valenciana","Francia","Tasa de variación acumulada",-
"2015 - Diciembre","Comunitat Valenciana","Francia","Tasa de variación anual",-
"2015 - Diciembre","Comunitat Valenciana","Italia","Acumulado en lo que va de año",63700
"2015 - Diciembre","Comunitat Valenciana","Italia","Dato base",18339
"2015 - Diciembre","Comunitat Valenciana","Italia","Tasa de variación acumulada",-
"2015 - Diciembre","Comunitat Valenciana","Italia","Tasa de variación anual",-
"2015 - Diciembre","Comunitat Valenciana","Países Bajos","Acumulado en lo que va de año",82058
"2015 - Diciembre","Comunitat Valenciana","Países Bajos","Dato base",23175
"2015 - Diciembre","Comunitat Valenciana","Países Bajos","Tasa de variación acumulada",-
"2015 - Diciembre","Comunitat Valenciana","Países Bajos","Tasa de variación anual",-
"2015 - Diciembre","Comunitat Valenciana","Países nórdicos","Acumulado en lo que va de año",120363
"2015 - Diciembre","Comunitat Valenciana","Países nórdicos","Dato base",23867
"2015 - Diciembre","Comunitat Valenciana","Países nórdicos","Tasa de variación acumulada",-
"2015 - Diciembre","Comunitat Valenciana","Países nórdicos","Tasa de variación anual",-
"2015 - Diciembre","Comunitat Valenciana","Reino Unido","Acumulado en lo que va de año",462980
"2015 - Diciembre","Comunitat Valenciana","Reino Unido","Dato base",117520
"2015 - Diciembre","Comunitat Valenciana","Reino Unido","Tasa de variación acumulada",-
"2015 - Diciembre","Comunitat Valenciana","Reino Unido","Tasa de variación anual",-
