DATAFLOW,LAST UPDATE,freq,indic_to,c_resid,month,unit,geo,TIME_PERIOD,OBS_VALUE
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES52,2020,42510
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES52,2021,25809
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES52,2022,53505
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES52,2023,66166
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES52,2024,68276
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES53,2018,5411
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES53,2019,5152
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES53,2020,6503
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES53,2021,3617
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES53,2022,7638
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES53,2023,9163
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES53,2024,8215
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES61,2018,80343
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES61,2019,97650
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES61,2020,134506
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES61,2021,55965
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES61,2022,154901
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES61,2023,184700
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES61,2024,206543
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES70,2018,52275
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES70,2019,61481
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES70,2020,65997
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES70,2021,42474
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES70,2022,81977
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES70,2023,104087
