"2016 - Diciembre","Comunitat Valenciana","Francia","Acumulado en lo que va de año",142
"2016 - Diciembre","Comunitat Valenciana","Francia","Dato base",38
"2016 - Diciembre","Comunitat Valenciana","Francia","Tasa de variación acumulada",-
"2016 - Diciembre","Comunitat Valenciana","Francia","Tasa de variación anual",-
"2016 - Diciembre","Comunitat Valenciana","Reino Unido","Acumulado en lo que va de año",498
"2016 - Diciembre","Comunitat Valenciana","Reino Unido","Dato base",181
"2016 - Diciembre","Comunitat Valenciana","Reino Unido","Tasa de variación acumulada",-
"2016 - Diciembre","Comunitat Valenciana","Reino Unido","Tasa de variación anual",-
"2016 - Noviembre","Comunitat Valenciana","Francia","Acumulado en lo que va de año",104
"2016 - Noviembre","Comunitat Valenciana","Francia","Dato base",37
"2016 - Noviembre","Comunitat Valenciana","Francia","Tasa de variación acumulada",-
"2016 - Noviembre","Comunitat Valenciana","Francia","Tasa de variación anual",-
"2016 - Noviembre","Comunitat Valenciana","Reino Unido","Acumulado en lo que va de año",317
"2016 - Noviembre","Comunitat Valenciana","Reino Unido","Dato base",120
"2016 - Noviembre","Comunitat Valenciana","Reino Unido","Tasa de variación acumulada",-
"2016 - Noviembre","Comunitat Valenciana","Reino Unido","Tasa de variación anual",-
"2016 - Octubre","Comunitat Valenciana","Francia","Acumulado en lo que va de año",67
"2016 - Octubre","Comunitat Valenciana","Francia","Dato base",67
"2016 - Octubre","Comunitat Valenciana","Francia","Tasa de variación acumulada",-
"2016 - Octubre","Comunitat Valenciana","Francia","Tasa de variación anual",-
"2016 - Octubre","Comunitat Valenciana","Reino Unido","Acumulado en lo que va de año",197
"2016 - Octubre","Comunitat Valenciana","Reino Unido","Dato base",197
"2016 - Octubre","Comunitat Valenciana","Reino Unido","Tasa de variación acumulada",-
"2016 - Octubre","Comunitat Valenciana","Reino Unido","Tasa de variación anual",-
"2017 - Abril","Comunitat Valenciana","Francia","Acumulado en lo que va de año",155
"2017 - Abril","Comunitat Valenciana","Francia","Dato base",11
"2017 - Abril","Comunitat Valenciana","Francia","Tasa de variación acumulada",-
"2017 - Abril","Comunitat Valenciana","Francia","Tasa de variación anual",-
"2017 - Abril","Comunitat Valenciana","Reino Unido","Acumulado en lo que va de año",438
"2017 - Abril","Comunitat Valenciana","Reino Unido","Dato base",40
"2017 - Abril","Comunitat Valenciana","Reino Unido","Tasa de variación acumulada",-
"2017 - Abril","Comunitat Valenciana","Reino Unido","Tasa de variación anual",-
"2017 - Agosto","Comunitat Valenciana","Francia","Acumulado en lo que va de año",768
"2017 - Agosto","Comunitat Valenciana","Francia","Dato base",281
"2017 - Agosto","Comunitat Valenciana","Francia","Tasa de variación acumulada",-
"2017 - Agosto","Comunitat Valenciana","Francia","Tasa de variación anual",-
"2017 - Agosto","Comunitat Valenciana","Reino Unido","Acumulado en lo que va de año",1585
"2017 - Agosto","Comunitat Valenciana","Reino Unido","Dato base",300
"2017 - Agosto","Comunitat Valenciana","Reino Unido","Tasa de variación acumulada",-
"2017 - Agosto","Comunitat Valenciana","Reino Unido","Tasa de variación anual",-
"2017 - Diciembre","Comunitat Valenciana","Francia","Acumulado en lo que va de año",1026
"2017 - Diciembre","Comunitat Valenciana","Francia","Dato base",44
"2017 - Diciembre","Comunitat Valenciana","Francia","Tasa de variación acumulada",-
"2017 - Diciembre","Comunitat Valenciana","Francia","Tasa de variación anual",17.8
"2017 - Diciembre","Comunitat Valenciana","Reino Unido","Acumulado en lo que va de año",2290
"2017 - Diciembre","Comunitat Valenciana","Reino Unido","Dato base",132
"2017 - Diciembre","Comunitat Valenciana","Reino Unido","Tasa de variación acumulada",-
"2017 - Diciembre","Comunitat Valenciana","Reino Unido","Tasa de variación anual",-27.0
"2017 - Enero","Comunitat Valenciana","Francia","Acumulado en lo que va de año",58
"2017 - Enero","Comunitat Valenciana","Francia","Dato base",58
"2017 - Enero","Comunitat Valenciana","Francia","Tasa de variación acumulada",-
"2017 - Enero","Comunitat Valenciana","Francia","Tasa de variación anual",-
"2017 - Enero","Comunitat Valenciana","Reino Unido","Acumulado en lo que va de año",110
"2017 - Enero","Comunitat Valenciana","Reino Unido","Dato base",110
"2017 - Enero","Comunitat Valenciana","Reino Unido","Tasa de variación acumulada",-
"2017 - Enero","Comunitat Valenciana","Reino Unido","Tasa de variación anual",-
"2017 - Febrero","Comunitat Valenciana","Francia","Acumulado en lo que va de año",98
"2017 - Febrero","Comunitat Valenciana","Francia","Dato base",40
"2017 - Febrero","Comunitat Valenciana","Francia","Tasa de variación acumulada",-
"2017 - Febrero","Comunitat Valenciana","Francia","Tasa de variación anual",-
"2017 - Febrero","Comunitat Valenciana","Reino Unido","Acumulado en lo que va de año",225
"2017 - Febrero","Comunitat Valenciana","Reino Unido","Dato base",114
"2017 - Febrero","Comunitat Valenciana","Reino Unido","Tasa de variación acumulada",-
"2017 - Febrero","Comunitat Valenciana","Reino Unido","Tasa de variación anual",-
"2017 - Julio","Comunitat Valenciana","Francia","Acumulado en lo que va de año",487
"2017 - Julio","Comunitat Valenciana","Francia","Dato base",172
"2017 - Julio","Comunitat Valenciana","Francia","Tasa de variación acumulada",-
"2017 - Julio","Comunitat Valenciana","Francia","Tasa de variación anual",-
"2017 - Julio","Comunitat Valenciana","Reino Unido","Acumulado en lo que va de año",1285
"2017 - Julio","Comunitat Valenciana","Reino Unido","Dato base",332
"2017 - Julio","Comunitat Valenciana","Reino Unido","Tasa de variación acumulada",-
"2017 - Julio","Comunitat Valenciana","Reino Unido","Tasa de variación anual",-
"2017 - Junio","Comunitat Valenciana","Francia","Acumulado en lo que va de año",315
"2017 - Junio","Comunitat Valenciana","Francia","Dato base",77
"2017 - Junio","Comunitat Valenciana","Francia","Tasa de variación acumulada",-
"2017 - Junio","Comunitat Valenciana","Francia","Tasa de variación anual",-
"2017 - Junio","Comunitat Valenciana","Reino Unido","Acumulado en lo que va de año",953
"2017 - Junio","Comunitat Valenciana","Reino Unido","Dato base",237
"2017 - Junio","Comunitat Valenciana","Reino Unido","Tasa de variación acumulada",-
"2017 - Junio","Comunitat Valenciana","Reino Unido","Tasa de variación anual",-
"2017 - Marzo","Comunitat Valenciana","Francia","Acumulado en lo que va de año",144
"2017 - Marzo","Comunitat Valenciana","Francia","Dato base",46
"2017 - Marzo","Comunitat Valenciana","Francia","Tasa de variación acumulada",-
"2017 - Marzo","Comunitat Valenciana","Francia","Tasa de variación anual",-
"2017 - Marzo","Comunitat Valenciana","Reino Unido","Acumulado en lo que va de año",398
"2017 - Marzo","Comunitat Valenciana","Reino Unido","Dato base",174
"2017 - Marzo","Comunitat Valenciana","Reino Unido","Tasa de variación acumulada",-
"2017 - Marzo","Comunitat Valenciana","Reino Unido","Tasa de variación anual",-
"2017 - Mayo","Comunitat Valenciana","Francia","Acumulado en lo que va de año",238
"2017 - Mayo","Comunitat Valenciana","Francia","Dato base",83
"2017 - Mayo","Comunitat Valenciana","Francia","Tasa de variación acumulada",-
"2017 - Mayo","Comunitat Valenciana","Francia","Tasa de variación anual",-
"2017 - Mayo","Comunitat Valenciana","Reino Unido","Acumulado en lo que va de año",716
"2017 - Mayo","Comunitat Valenciana","Reino Unido","Dato base",278
"2017 - Mayo","Comunitat Valenciana","Reino Unido","Tasa de variación acumulada",-
"2017 - Mayo","Comunitat Valenciana","Reino Unido","Tasa de variación anual",-
"2017 - Noviembre","Comunitat Valenciana","Francia","Acumulado en lo que va de año",982
"2017 - Noviembre","Comunitat Valenciana","Francia","Dato base",40
"2017 - Noviembre","Comunitat Valenciana","Francia","Tasa de variación acumulada",-
"2017 - Noviembre","Comunitat Valenciana","Francia","Tasa de variación anual",7.0
"2017 - Noviembre","Comunitat Valenciana","Reino Unido","Acumulado en lo que va de año",2158
"2017 - Noviembre","Comunitat Valenciana","Reino Unido","Dato base",132
