DATAFLOW,LAST UPDATE,freq,indic_to,c_resid,unit,cities,TIME_PERIOD,OBS_VALUE
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES021C,2022,131927
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES021C,2023,151921
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES024C,2018,62804
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES024C,2019,75050
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES024C,2020,56869
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES024C,2021,68845
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES024C,2022,94540
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES024C,2023,110746
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES032C,2018,70216
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES032C,2019,80639
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES032C,2020,61083
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES032C,2021,107709
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES032C,2022,116021
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES032C,2023,141523
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES033C,2018,52159
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES033C,2019,57490
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES033C,2020,37223
