REGIONCODE,ID,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,LOAD_TIME,LANGUAGE_KEY
AUQLD,1,OCEA,Queensland,Oceania,OC,Oceania,1,,2
US_FL,2,NAME,Florida,North America,AM,America,1,,2
BR_PR,3,SAME,Parana,South America,AM,America,1,,2
DENOR,4,WEUR,North Rhine Westphalia,Western Europe,EU,Europe,1,,2
BR_TO,5,SAME,Tocantins,South America,AM,America,1,,2
CNXIN,6,NEAS,Xinjiang,North East Asia,AS,Asia,1,,2
BR_MG,7,SAME,Minas Gerais,South America,AM,America,1,,2
ESCAM,8,SEUR,Castile la Mancha,Southern Europe,EU,Europe,1,,2
US_PA,9,NAME,Pennsylvania,North America,AM,America,1,,2
US_TX,10,NAME,Texas,North America,AM,America,1,,2
US_AK,11,NAME,Alaska,North America,AM,America,1,,2
US_NM,12,NAME,New Mexico,North America,AM,America,1,,2
US_SD,13,NAME,South Dakota,North America,AM,America,1,,2
AUNSW,14,OCEA,New South Wales,Oceania,OC,Oceania,1,,2
US_GA,15,NAME,Georgia,North America,AM,America,1,,2
GBSCO,16,NEUR,Scotland,Northern Europe,EU,Europe,1,,2
US_MI,17,NAME,Michigan,North America,AM,America,1,,2
ESCAN,18,SEUR,Canary Islands,Southern Europe,EU,Europe,1,,2
GBDEP,19,NEUR,UK Crown Dependencies,Northern Europe,EU,Europe,1,,2
US_MA,20,NAME,Massachusetts,North America,AM,America,1,,2
ESVAL,21,SEUR,Valencian Community,Southern Europe,EU,Europe,1,,2
US_CA,22,NAME,California,North America,AM,America,1,,2
CNGUI,23,NEAS,Guizhou,North East Asia,AS,Asia,1,,2
US_NJ,24,NAME,New Jersey,North America,AM,America,1,,2
AUSOA,25,OCEA,South Australia,Oceania,OC,Oceania,1,,2
US_OK,26,NAME,Oklahoma,North America,AM,America,1,,2
US_SC,27,NAME,South Carolina,North America,AM,America,1,,2
US_MD,28,NAME,Maryland,North America,AM,America,1,,2
CNGXI,29,NEAS,Guangxi,North East Asia,AS,Asia,1,,2
ESAND,30,SEUR,Andalusia,Southern Europe,EU,Europe,1,,2
US_MN,31,NAME,Minnesota,North America,AM,America,1,,2
AR_BA,32,SAME,Buenos Aires,South America,AM,America,1,,2
CNMOG,33,NEAS,Inner Mongolia,North East Asia,AS,Asia,1,,2
US_LA,34,NAME,Louisiana,North America,AM,America,1,,2
AR_MD,35,SAME,Mendoza,South America,AM,America,1,,2
US_CO,36,NAME,Colorado,North America,AM,America,1,,2
BR_MT,37,SAME,Mato Grosso,South America,AM,America,1,,2
US_NH,38,NAME,New Hampshire,North America,AM,America,1,,2
US_WY,39,NAME,Wyoming,North America,AM,America,1,,2
DEBAV,40,WEUR,Bavaria,Western Europe,EU,Europe,1,,2
DELOW,41,WEUR,Lower Saxony,Western Europe,EU,Europe,1,,2
FRAQU,42,WEUR,New Aquitaine,Western Europe,EU,Europe,1,,2
US_AR,43,NAME,Arkansas,North America,AM,America,1,,2
INTTH,44,SASI,Uttar Pradesh,South Asia,AS,Asia,1,,2
INLAK,45,SASI,Lakshadweep,South Asia,AS,Asia,1,,2
AUWEA,46,OCEA,Western Australia,Oceania,OC,Oceania,1,,2
US_NE,47,NAME,Nebraska,North America,AM,America,1,,2
US_WI,48,NAME,Wisconsin,North America,AM,America,1,,2
CNSIC,49,NEAS,Sichuan,North East Asia,AS,Asia,1,,2
US_OR,50,NAME,Oregon,North America,AM,America,1,,2
FRAUR,51,WEUR,Auvergne and Rhone-Alpes,Western Europe,EU,Europe,1,,2
