TERMINALCODE,ID,AIRPORTIATACODE,AIRPORTICAOCODE,AIRPORTNAME,CITYCODE,ACTIVESTATUS,AIRPORTLATITUDE,AIRPORTLONGITUDE,LOAD_TIME
BSI_00,1129,BSE,,Sematan Airport,BSE,1,1.813611,109.762778,,
BSJ_00,1130,BSF,PHSF,Bradshaw Army Air Field,BSF,1,19.758207,-155.549427,,
BSK_00,1131,BSG,FGBT,Bata Airport,BSG,1,1.906667,9.802222,,
BSL_00,1132,BSH,,Brighton Airport,BSH,1,50.816667,-0.116667,,
BSM_00,1133,BSI,,Balesin Island Airport,BSI,1,14.419365,122.039402,,
BSN_00,1134,BSJ,YBNS,Bairnsdale Airport,BSJ,1,-37.887501,147.567993,,
BSO_00,1135,BSK,DAUB,Mohamed Khider Airport,BSK,1,34.793333,5.738056,,
BSP_00,1136,BSL,LFSB,EuroAirport Swiss,EAP,1,47.599608,7.532604,,
BSQ_00,1137,BSM,OINJ,Bishe Kola Air Base,BSM,1,36.65551,52.350462,,
BSR_00,1138,BSN,FEFS,Bossangoa Airport,BSN,1,6.583333,17.5,,
BSS_00,1139,BSO,RPUO,Basco Airport,BSO,1,20.453056,121.977778,,
BST_00,1140,BSP,,Bensbach Airport,BSP,1,-8.333333,141.083333,,
BSU_00,1141,BSQ,,Bisbee Municipal Airport,BSQ,1,31.363889,-109.881111,,
BSV_00,1142,BSR,ORMM,Basra International Airport,BSR,1,30.552695,47.666865,,
BSW_00,1143,BSS,SNBS,Balsas Airport,BSS,1,-7.516667,-46.05,,
BSX_00,1144,BST,OABT,Bost Airport,BST,1,31.55,64.366667,,
BSY_00,1145,BSU,FZEN,Basankusu Airport,BSU,1,1.221667,19.788889,,
BSZ_00,1146,BSV,,Besakoa Airport,BSV,1,-15.666667,47.066667,,
BTA_00,1147,BSW,,Boswell Bay Airport,BSW,1,60.4,-146.133333,,
BTB_00,1148,BSX,VYPN,Pathein Airport,BSX,1,16.812453,94.774901,,
BTC_00,1149,BSY,,Bardera Airport,BSY,1,2.35,42.333333,,
BTD_00,1150,BSZ,,Bartletts Airport,BSZ,0,58.233611,-157.350278,,
BTE_00,1151,BTA,FKKO,Bertoua Airport,BTA,1,4.548878,13.72602,,
BTF_00,1152,BTB,FCOT,Betou Airport,BTB,1,3.05,18.5,,
BTG_00,1153,BTC,VCCB,Batticaloa Airport,BTC,1,7.704878,81.678544,,
BTH_00,1154,BTD,,Brunette Downs Airport,BTD,1,-18.666667,135.916667,,
BTI_00,1155,BTE,GFBN,Bonthe Airport,BTE,1,7,-12.008333,,
BTJ_00,1156,BTF,KBTF,Bountiful Skypark,BTF,1,40.869432,-111.927485,,
BTK_00,1157,BTG,,Batangafo Airport,BTG,1,7.416667,18.333333,,
BTL_00,1158,BTH,WIDD,Hang Nadim International Airport,BTH,1,1.123627,104.115279,,
BTM_00,1159,BTI,PABA,Barter Island Airport,BTI,1,70.134722,-143.578333,,
BTN_00,1160,BTJ,WITT,Sultan Iskandar Muda International Airport,BTJ,1,5.518021,95.418329,,
BTO_00,1161,BTK,UIBB,Bratsk Airport,BTK,1,56.370602,101.697998,,
BTP_00,1162,BTL,KBTL,WK Kellogg Regional Airport,BTL,1,42.305036,-85.252674,,
BTQ_00,1163,BTM,KBTM,Butte Airport,BTM,1,45.951111,-112.493889,,
BTR_00,1164,BTN,KBBP,Bennettsville Airport,BTN,1,34.616667,-79.683333,,
BTS_00,1165,BTO,,Botopasie Airport,BTO,1,4.25,-55.45,,
BTT_00,1166,BTP,KBTP,Graham Field,BTP,1,40.85,-79.916667,,
BTU_00,1167,BTQ,HRYI,Butare Airport,BTQ,1,-2.6,29.733333,,
BTV_00,1168,BTR,KBTR,Baton Rouge Metropolitan Airport,BTR,1,30.532537,-91.156907,,
BTW_00,1169,BTS,LZIB,M.R. Stefanik Airport,BTS,1,48.170125,17.212665,,
BTX_00,1170,BTT,PABT,Bettles Airport,BTT,1,66.915278,-151.526389,,
BTY_00,1171,BTU,WBGB,Bintulu Airport,BTU,1,3.123505,113.023112,,
BTZ_00,1172,BTV,KBTV,Burlington International Airport,BTV,1,44.469014,-73.155277,,
BUA_00,1173,BTW,WAOC,Batulicin Airport,BTW,1,-3.41194,116.000082,,
BUB_00,1174,BTX,YBEO,Betoota Airport,BTX,1,-25.7,140.733333,,
BUC_00,1175,BTY,KBTY,Beatty Airport,BTY,1,36.9,-116.766667,,
BUD_00,1176,BTZ,,Bursa,BTZ,0,,,,
BUD_01,1177,BTZ,,Betong Airport,BTZ,1,5.788611,101.146944,,
BUD_2A,1178,BUA,,Buka Airport,BUA,1,-5.422443,154.672885,,
BUD_2B,1179,BUB,KBUB,Cram Field,BUB,1,41.775599,-99.147158,,
BUE_00,1180,BUC,YBKT,Burketown Airport,BUC,1,-17.75,139.533333,,
BUF_00,1181,BUD,LHBP,Budapest Ferenc Liszt International Airport,BUD,1,47.433037,19.261621,,
BUG_00,1182,BUD,LHBP,Budapest Ferenc Liszt International Airport,BUD,1,47.433037,19.261621,,
BUH_00,1183,BUD,LHBP,Budapest Ferenc Liszt International Airport,BUD,1,47.433037,19.261621,,
BUI_00,1184,BUD,LHBP,Budapest Ferenc Liszt International Airport,BUD,1,47.433037,19.261621,,
BUJ_00,1185,BUE,,Buenos Aires Metropolitan Area,BUE,1,-34.57222222,-58.37027778,,
BUK_00,1186,BUF,KBUF,Buffalo Niagara International Airport,BUF,1,42.933828,-78.731804,,
BUL_00,1187,BUG,FNBG,17 de Setembro Airport,BUG,1,-12.609024,13.403714,,
BUM_00,1188,BUH,,Bucharest Metropolitan Area,BUH,1,44.50277778,26.08333333,,
BUN_00,1189,BUI,,Bokondini Airport,BUI,1,-2,133.583333,,
BUO_00,1190,BUJ,DAAD,Ain Eddis Airport,BUJ,1,35.166667,4.15,,
BUP_00,1191,BUK,OYBQ,Albuq Airport,BUK,1,15.833333,43.766667,,
BUQ_00,1192,BUL,,Bulolo Airport,BUL,1,-7.189722,146.647778,,
BUR_00,1193,BUM,KBUM,Butler Airport,BUM,1,38.266667,-94.333333,,
BUS_00,1194,BUN,SKBU,Buenaventura Airport,BUN,1,3.825,-76.995833,,
BUT_00,1195,BUO,HCMV,Burao Airport,BUO,1,9.5225,45.554167,,
BUU_00,1196,BUP,VIBT,Bathinda Airport,BUP,1,30.270092,74.755809,,
BUV_00,1197,BUQ,FVBU,Bulawayo Airport,BUQ,1,-20.014933,28.622616,,
BUW_00,1198,BUR,KBUR,Bob Hope Airport,BUR,1,34.196188,-118.354113,,
BUX_00,1199,BUS,UGSB,Batumi Airport,BUS,1,41.610833,41.600556,,
BUY_00,1200,BUT,VQBT,Bathpalathang Airport,BUT,1,27.562955,90.746101,,
BUZ_00,1201,BUU,WIJB,Muara Bungo Airport,BUU,1,-1.540169,102.179283,,
BVA_00,1202,BUV,,Bella Union Airport,BUV,1,-30.333333,-57.083333,,
BVB_00,1203,BUW,WAWB,Baubau Airport,BUW,1,-5.48688,122.569,,
BVC_00,1204,BUX,FZKA,Bunia Airport,BUX,1,1.565833,30.220833,,
BVD_00,1205,BUY,YBUN,Bunbury Airport,BUY,1,-33.377824,115.678948,,
BVE_00,1206,BUZ,OIBB,Bushehr Airport,BUZ,1,28.958285,50.825425,,
BVF_00,1207,BVA,LFOB,Beauvais-Tille Airport,PAR,1,49.459488,2.110815,,
BVG_00,1208,BVB,SBBV,Boa Vista Airport,BVB,1,2.833333,-60.666667,,
BVH_00,1209,BVC,GVBA,Rabil Airport,BVC,1,16.136499,-22.888901,,
BVI_00,1210,BVD,,Beaver Inlet Sea Port,BVD,1,53.733333,-166.316667,,
BVJ_00,1211,BVE,LFSL,Vallee de la Dordogne Airport,BVE,1,45.039722,1.485556,,
BVK_00,1212,BVF,,Dama Airport,BVF,1,-17,178.5,,
BVL_00,1213,BVG,ENBV,Berlevag Airport,BVG,1,70.866667,29,,
BVM_00,1214,BVH,SBVH,Vilhena Airport,BVH,1,-12.716667,-60.116667,,
BVN_00,1215,BVI,YBDV,Birdsville Airport,BVI,1,-25.898333,139.343333,,
BVO_00,1216,BVJ,,Bovanenkovo Airport,BVJ,1,70.31669,68.326746,,
BVP_00,1217,BVK,,Huacaraje Airport,BVK,1,-13.55,-63.75,,
BVQ_00,1218,BVL,,Baures Airport,BVL,1,-13.583333,-63.583333,,
BVR_00,1219,BVM,SNBL,Belmonte Airport,BVM,1,-15.833333,-38.916667,,
BVS_00,1220,BVN,,Baoding - MU Bus Station,BVN,1,38.86111111,115.4811111,,
BVU_00,1221,BVO,KBVO,Bartlesville Municipal Airport,BVO,1,36.7625,-96.010833,,
BVV_00,1222,BVP,,Bolovip Airport,BVP,1,-5.383333,141.7,,
BVW_00,1223,BVQ,,Baoding - Railway Station,BVN,1,38.86416667,115.4788889,,
BVX_00,1224,BVR,,Esperadinha Airport,BVR,1,14.866667,-24.733333,,
BVY_00,1225,BVS,SNVS,Breves Airport,BVS,1,-1.666667,-50.466667,,
BVZ_00,1226,BVU,PABG,Beluga Airport,BVU,1,61.169444,-151.036111,,
BWA_00,1227,BVV,UHSB,Burevestnik Airport,BVV,1,44.928645,147.613366,,
BWB_00,1228,BVW,,Batavia Downs Airport,BVW,1,-12.65,143.216667,,
BWC_00,1229,BVX,KBVX,Batesville Regional Airport,BVX,1,35.766667,-91.65,,
BWD_00,1230,BVY,KBVY,Beverly Municipal Airport,BVY,1,42.585167,-70.915335,,
BWE_00,1231,BVZ,,Beverley Springs Airport,BVZ,1,-15,124,,
BWF_00,1232,BWA,VNBW,Bhairawa Airport,BWA,1,27.504167,83.42,,
BWG_00,1233,BWB,YBWX,Barrow Island Airport,BWB,1,-20.864401,115.405998,,
BWH_00,1234,BWC,KBWC,Brawley Municipal Airport,BWC,1,32.992865,-115.516875,,
BWI_00,1235,BWD,KBWD,Brownwood Regional Airport,BWD,1,31.794722,-98.956667,,
BWJ_00,1236,BWE,EDVE,Braunschweig-Wolfsburg Airport,BWE,1,52.318095,10.557137,,
BWK_00,1237,BWF,EGNL,Walney Island Airport,BWF,1,54.116667,-3.233333,,
BWL_00,1238,BWG,KBWG,Warren County Airport,BWG,1,36.962222,-86.422222,,
BWM_00,1239,BWH,WMKB,Butterworth Airport,BWH,1,5.466667,100.3925,,
BWN_00,1240,BWI,KBWI,Wash International Thurgood Marshall Airport,WAS,1,39.179526,-76.668941,,
BWO_00,1241,BWJ,,Bawan Airport,BWJ,1,-6.4,146.9,,
BWP_00,1242,BWK,LDSB,Brac Island,BWK,1,43.307194,16.797194,,
BWQ_00,1243,BWL,,Blackwell Airport,BWL,1,36.8,-97.283333,,
BWS_00,1244,BWM,KBPP,Bowman Airport,BWM,1,46.183333,-103.4,,
BWT_00,1245,BWN,WBSB,Brunei International Airport,BWN,1,4.945197,114.93375,,
BWU_00,1246,BWO,,Balakovo Airport,BWO,1,51.862111,47.745743,,
BWW_00,1247,BWP,,Bewani Airport,BWP,1,-3.016667,141.15,,
BWX_00,1248,BWQ,YBRW,Brewarrina Airport,BWQ,1,-29.95,146.866667,,
BWY_00,1249,BWS,,Blaine Airport,BWS,0,48.966667,-122.833333,,
BXA_00,1250,BWT,YBUI,Burnie Wynyard Airport,BWT,1,-40.993145,145.725074,,
BXB_00,1251,BWU,,Bankstown Airport,BWU,1,-33.92333333,150.9902778,,
BXC_00,1252,BWW,,Las Brujas Airport,BWW,1,22.62138889,-79.14722222,,
BXD_00,1253,BWX,WARB,Blimbingsari Airport,BWX,1,-8.310229,114.340461,,
BXE_00,1254,BWY,,Bentwaters Street Airport,BWY,0,52.1,1.316667,,
BXF_00,1255,BXA,KBXA,George R. Carr Airport,BXA,1,30.933333,-89.883333,,
BXG_00,1256,BXB,WASO,Babo Airport,BXB,1,-2.532486,133.441147,,
BXH_00,1257,BXC,,Boxborough Airport,BXC,0,42.483333,-71.533333,,
BXI_00,1258,BXD,,Bade Airport,BXD,1,-7.166667,139.5,,
BXJ_00,1259,BXE,GOTB,Bakel Airport,BXE,1,14.841667,-12.467778,,
BXK_00,1260,BXF,,Belburn Airport,BXF,1,-17.545556,128.307778,,
BXL_00,1261,BXG,YBDG,Bendigo Airport,BXG,1,-36.737608,144.327227,,
BXM_00,1262,BXH,UAAH,Balhash Airport,BXH,1,46.894216,75.004381,,
BXN_00,1263,BXI,DIBI,Boundiali Airport,BXI,1,8.75,-6.5,,
BXO_00,1264,BXJ,UAAR,Borolday Airport,ALA,1,43.351471,76.882627,,
BXP_00,1265,BXK,KBXK,Buckeye Airport,BXK,1,33.366667,-112.583333,,
BXR_00,1266,BXL,,Blue Lagoon Airport,BXL,1,-15.456667,27.459167,,
BXS_00,1267,BXM,,Batom Airport,BXM,1,-4.116667,140.85,,
BXT_00,1268,BXN,LTBV,Imsik Airport,BXN,1,37.138353,27.664951,,
BXU_00,1269,BXO,,Buochs Airport,BXO,1,46.966667,8.383333,,
BXV_00,1270,BXP,,Biala Podlaska Airport,BXP,1,52.00305556,23.14361111,,
BXW_00,1271,BXR,OIKM,Bam Airport,BXR,1,29.080082,58.449356,,
BXX_00,1272,BXS,,Borrego Springs Airport,BXS,1,33.343333,-116.327778,,
BXY_00,1273,BXT,WALC,Bontang Airport,BXT,1,0.166667,117.5,,
BXZ_00,1274,BXU,RPWE,Butuan Airport,BXU,1,8.947999,125.481228,,
BYA_00,1275,BXV,,Breiddalsvik Airport,BXV,1,64.766667,-14,,
BYB_00,1276,BXW,,Bawean Airport,BXW,1,-5.723888889,112.6791667,,
BYC_00,1277,BXX,,Borama Airport,BXX,1,9.966667,43.116667,,
BYD_00,1278,BXY,,Krayniy Airport,BXY,1,45.622002,63.215,,
BYE_00,1279,BXZ,,Bunsil Airport,BXZ,1,-5.716667,147.866667,,
BYF_00,1280,BYA,,Boundary Airport,BYA,1,64.076389,-141.114444,,
BYG_00,1281,BYB,,Dibaa Airport,BYB,1,25.583333,56.25,,
BYH_00,1282,BYC,SLYA,Yacuiba Airport,BYC,1,-21.95,-63.65,,
BYI_00,1283,BYD,,Beidah Airport,BYD,1,14.133333,46.55,,
BYJ_00,1284,BYE,,BenXi Rail Station,BYE,1,41.29305556,123.7527778,,
BYK_00,1285,BYF,LFAQ,Albert Bray Airport,BYF,1,49.970389,2.699448,,
BYL_00,1286,BYG,KBYG,Buffalo Municipal Airport,BYG,1,44.35,-106.7,,
BYM_00,1287,BYH,KBYH,Arkansas International Airport,BYH,1,35.960897,-89.945216,,
BYN_00,1288,BYI,KBYI,Burley Municipal Airport,BYI,1,42.541389,-113.774167,,
BYO_00,1289,BYJ,LPBJ,Beja International Airport,BYJ,1,38.090242,-7.926813,,
BYP_00,1290,BYK,DIBK,Bouake Airport,BYK,1,7.736606,-5.069469,,
BYQ_00,1291,BYL,,Bella Yella Airport,BYL,1,7.366667,-10,,
BYR_00,1292,BYM,MUBY,C.M. de Cespedes Airport,BYM,1,20.383333,-76.65,,
BYS_00,1293,BYN,ZMBH,Bayankhongor Airport,BYN,1,46.1,100.683333,,
BYT_00,1294,BYO,,Bonito Airport,BYO,1,-21.243866,-56.45085,,
BYU_00,1295,BYP,YBRY,Barimunya Airport,BYP,1,-22.673889,119.166111,,
BYV_00,1296,BYQ,,Bunyu Airport,BYQ,1,3.583333,117.833333,,
BYW_00,1297,BYR,EKLS,Laeso Airport,BYR,1,57.277563,11.005083,,
BYX_00,1298,BYS,,Bicycle Lake Army Air Field,BYS,1,35.266667,-116.566667,,
BZA_00,1299,BYT,EIBN,Bantry Airport,BYT,1,51.683333,-9.45,,
BZB_00,1300,BYU,EDQD,Bindlacher-Berg Airport,BYU,1,49.985556,11.64,,
BZC_00,1301,BYV,,Beira Lake SPB,CMB,1,6.928055556,79.85555556,,
BZD_00,1302,BYW,,Blakely Island Airport,BYW,1,48.5,-123,,
BZE_00,1303,BYX,,Baniyala Airport,BYX,1,-13.2,136.233333,,
BZF_00,1304,BZA,,San Pedro Airport,BZA,1,13.95,-84.6,,
BZG_00,1305,BZB,,Bazaruto Island Airport,BZB,1,-21.534722,35.491667,,
BZH_00,1306,BZC,,Buzios Airport,BZC,1,-22.769444,-41.964444,,
BZI_00,1307,BZD,YBRN,Balranald Airport,BZD,1,-34.616667,143.616667,,
BZK_00,1308,BZE,MZBZ,Philip S.W. Goldson International Airport,BZE,1,17.539167,-88.308333,,
BZL_00,1309,BZF,,Benton Field,RDD,1,40.574169,-122.407437,,
BZM_00,1310,BZG,EPBY,Ignacy Jan Paderewski Airport,BZG,1,53.096667,17.978611,,
BZN_00,1311,BZH,FVBM,Bumi Hills Airport,BZH,1,-16.816667,28.35,,
BZO_00,1312,BZI,LTBF,Balikesir Airport,BZI,1,39.617222,27.927778,,
BZP_00,1313,BZK,UUBP,Bryansk International Airport,BZK,1,53.213911,34.176383,,
BZQ_00,1314,BZL,VGBR,Barisal Airport,BZL,1,22.798942,90.301446,,
BZR_00,1315,BZM,,Bemolanga Airport,BZM,1,-17.69609,45.087785,,
BZS_00,1316,BZN,KBZN,Bozeman Yellowstone International Airport,BZN,1,45.777687,-111.160334,,
BZT_00,1317,BZO,LIPB,Bolzano Airport,BZO,1,46.462444,11.330511,,
BZU_00,1318,BZP,,Bizant Airport,BZP,1,-15.216667,144.633333,,
BZV_00,1319,BZQ,,Bolzano - Railway Station,BZO,1,46.49638889,11.35833333,,
BZX_00,1320,BZR,LFMU,Beziers Vias Airport,BZR,1,43.321186,3.353485,,
BZY_00,1321,BZS,,Buzzards Point S Airport,WAS,0,38.868675,-77.007637,,
BZZ_00,1322,BZT,,Hinkles Ferry,BZT,1,29.05,-95.566667,,
CAA_00,1323,BZU,FZKJ,Buta Airport,BZU,1,2.8,24.733333,,
CAB_00,1324,BZV,FCBB,Maya Maya Airport,BZV,1,-4.258899,15.251139,,
CAC_00,1325,BZX,,Enyang Airport,BZX,1,31.738056,106.643889,,
CAD_00,1326,BZY,LUBL,Balti International Airport,BZY,1,47.841868,27.778148,,
CAE_00,1327,BZZ,EGVN,RAF Brize Norton,BZZ,1,51.75,-1.587093,,
CAF_00,1328,CAA,MHCA,Catacamas Airport,CAA,1,14.830556,-85.894444,,
CAG_00,1329,CAB,FNCA,Cabinda Airport,CAB,1,-5.583333,12.2,,
CAH_00,1330,CAC,SBCA,Cascavel Airport,CAC,1,-25.001606,-53.501565,,
CAI_00,1331,CAE,KCAE,Columbia Metropolitan Airport,CAE,1,33.938804,-81.119497,,
CAI_01,1332,CAF,SWCA,Carauari Airport,CAF,1,-4.9,-66.916667,,
CAI_02,1333,CAG,LIEE,Cagliari Elmas Airport,CAG,1,39.254333,9.060673,,
CAI_03,1334,CAH,VVCM,Ca Mau Airport,CAH,1,9.175556,105.179444,,
CAI_0S,1335,CAD,KCAD,Wexford County Airport,CAD,1,44.275833,-85.422222,,
CAJ_00,1336,CAI,HECA,Cairo International Airport,CAI,1,30.120106,31.406469,,
CAK_00,1337,CAI,HECA,Cairo International Airport,CAI,1,30.120106,31.406469,,
CAL_00,1338,CAI,HECA,Cairo International Airport,CAI,1,30.120106,31.406469,,
CAM_00,1339,CAI,HECA,Cairo International Airport,CAI,1,30.120106,31.406469,,
CAN_00,1340,CAI,HECA,Cairo International Airport,CAI,1,30.120106,31.406469,,
CAN_01,1341,CAJ,SVCN,Canaima Airport,CAJ,1,6.240634,-62.853511,,
CAN_02,1342,CAK,KCAK,Akron-Canton Airport,CAK,1,40.914962,-81.435831,,
CAO_00,1343,CAL,EGEC,Machrihanish Airport,CAL,1,55.436389,-5.686667,,
CAP_00,1344,CAM,SLCA,Camiri Airport,CAM,1,-20.011111,-63.561111,,
CAQ_00,1345,CAN,ZGGG,Guangzhou Baiyun International Airport,CAN,1,23.387862,113.29734,,
CAR_00,1346,CAN,ZGGG,Guangzhou Baiyun International Airport,CAN,1,23.387862,113.29734,,
CAS_00,1347,CAN,ZGGG,Guangzhou Baiyun International Airport,CAN,1,23.387862,113.29734,,
CAT_00,1348,CAO,KCAO,Clayton Municipal Airpark,CAO,1,36.446061,-103.153654,,
CAU_00,1349,CAP,MTCH,Hugo Chavez International Airport,CAP,1,19.732778,-72.195,,
CAV_00,1350,CAQ,SKCU,Juan H. White Airport,CAQ,1,7.967905,-75.197183,,
CAW_00,1351,CAR,KCAR,Caribou Municipal Airport,CAR,1,46.866667,-68.016667,,
CAX_00,1352,CAS,GMMC,Anfa Airport,CAS,0,33.559722,-7.663056,,
CAY_00,1353,CAT,LPCS,Cascais Municipal Aerodrome,CAT,1,38.725556,-9.355278,,
CAZ_00,1354,CAU,SNRU,Caruaru Airport,CAU,1,-8.25,-35.916667,,
CBA_00,1355,CAV,,Cazombo Airport,CAV,1,-11.9,22.866667,,
CBB_00,1356,CAW,SBCP,Bartolomeu Lisandro Airport,CAW,1,-21.700159,-41.303481,,
CBC_00,1357,CAX,EGNC,Carlisle Airport,CAX,1,54.936667,-2.809444,,
CBD_00,1358,CAY,SOCA,Felix Eboue Airport,CAY,1,4.816667,-52.366667,,
CBE_00,1359,CAZ,YCBA,Cobar Airport,CAZ,1,-31.536796,145.796588,,
CBF_00,1360,CBA,,Cordoba Bus Station,ODB,1,37.88944444,-4.790277778,,
CBG_00,1361,CBB,SLCB,J Wilsterman Airport,CBB,1,-17.413954,-66.178896,,
CBH_00,1362,CBC,,Cherrabun Airport,CBC,1,-18.916667,125.55,,
CBI_00,1363,CBD,VOCX,Car Nicobar Air Force Base,CBD,1,9.156177,92.821031,,
CBJ_00,1364,CBE,KCBE,Wiley Ford Airport,CBE,1,39.614444,-78.766111,,
CBK_00,1365,CBF,KCBF,Council Bluffs Municipal Airport,CBF,1,41.259926,-95.757689,,
CBL_00,1366,CBG,EGSC,Cambridge Airport,CBG,1,52.208044,0.177738,,
CBM_00,1367,CBH,DAOR,Leger Airport,CBH,1,31.647778,-2.259722,,
CBN_00,1368,CBI,,Cape Barren Island Airport,CBI,1,-40.390074,148.01664,,
CBO_00,1369,CBJ,MDCR,Cabo Rojo Airport,CBJ,1,17.933333,-71.65,,
CBP_00,1370,CBK,KCBK,Colby Municipal Airport,CBK,1,39.426141,-101.050303,,
CBQ_00,1371,CBL,SVCB,Tomas de Heres Airport,CBL,1,8.122381,-63.534656,,
CBR_00,1372,CBM,KCBM,Columbus Air Force Base,UBS,1,33.64384,-88.444666,,
CBS_00,1373,CBN,,Penggung Airport,CBN,1,-6.75,108.533333,,
CBT_00,1374,CBO,RPMC,Awang Airport,CBO,1,7.161412,124.214639,,
CBU_00,1375,CBP,LPCO,Coimbra Airport,CBP,1,40.2,-8.416667,,
CBV_00,1376,CBQ,DNCA,Calabar Airport,CBQ,1,4.96889,8.347415,,
CBW_00,1377,CBR,YSCB,Canberra Airport,CBR,1,-35.30735,149.190528,,
CBX_00,1378,CBS,,Oro Negro Airport,CBS,1,10.383333,-71.416667,,
CBY_00,1379,CBT,FNCM,Catumbela Airport,CBT,1,-12.483333,13.483333,,
CBZ_00,1380,CBU,ETHT,Cottbus Airport,CBU,1,51.770278,14.299167,,
CCA_00,1381,CBV,,Coban Airport,CBV,1,15.471667,-90.409167,,
CCB_00,1382,CBW,,Campo Mourao Airport,CBW,1,-24.001944,-52.356389,,
CCC_00,1383,CBX,YCDO,Condobolin Airport,CBX,1,-33.866667,148.25,,
CCD_00,1384,CBY,,Canobie Airport,CBY,1,-19.478611,140.926111,,
CCE_00,1385,CBZ,,Binzhou Dagao General Airport,CBZ,1,37.61,117.8858333,,
CCF_00,1386,CCA,SLCH,Chimore Airport,CCA,1,-16.98975,-65.1415,,
CCG_00,1387,CCB,KCCB,Cable Airport,CCB,1,34.111563,-117.687638,,
CCH_00,1388,CCC,MUCC,Jardines del Rey Airport,CCC,1,22.461111,-78.328611,,
CCI_00,1389,CCD,,Century City Airport,LAX,1,34.066667,-118.266667,,
CCJ_00,1390,CCE,HECP,Cairo Capital International Airport,CAI,1,30.07222,31.83333,,
CCK_00,1391,CCF,LFMK,Carcassonne Airport,CCF,1,43.215476,2.308594,,
CCL_00,1392,CCG,,Crane County Airport,CCG,1,31.4,-102.35,,
CCM_00,1393,CCH,SCCC,Chile Chico Airport,CCH,1,-46.55,-71.7,,
CCN_00,1394,CCI,SSCK,Concordia Airport,CCI,1,-27.181389,-52.050556,,
CCO_00,1395,CCJ,VOCL,Calicut International Airport,CCJ,1,11.138782,75.949976,,
CCP_00,1396,CCK,YPCC,Cocos Islands Airport,CCK,1,-12.1883,96.8339,,
CCQ_00,1397,CCL,YCCA,Chinchilla Airport,CCL,1,-26.772339,150.61823,,
CCR_00,1398,CCM,SBCM,Criciuma Airport,CCM,1,-28.7,-49.366667,,
CCS_00,1399,CCN,OACC,Chaghcharan Airport,CCN,1,34.524826,65.265506,,
CCT_00,1400,CCO,,Carimagua Airport,CCO,1,4.566667,-71.333333,,
CCU_00,1401,CCP,SCIE,Carriel Sur Airport,CCP,1,-36.777121,-73.059444,,
CCV_00,1402,CCQ,,Cachoeira Airport,CCQ,0,-12.6,-38.966667,,
CCW_00,1403,CCR,KCCR,Buchanan Field,CCR,1,37.988889,-122.055556,,
CCX_00,1404,CCS,SVMI,Simon Bolivar International Airport,CCS,1,10.596942,-67.005511,,
CCY_00,1405,CCT,,Colonia Catriel Airport,CCT,1,-39.5,-68.916667,,
CCZ_00,1406,CCU,VECC,Netaji Subhas Chandra Bose Airport,CCU,1,22.64531,88.439306,,
CDA_00,1407,CCV,NVSF,Craig Cove Airport,CCV,1,-16.2,167.5,,
CDB_00,1408,CCW,YCWL,Cowell Airport,CCW,1,-33.633333,136.833333,,
CDC_00,1409,CCX,SWKC,Caceres Airport,CCX,1,-16.066667,-57.7,,
CDD_00,1410,CCY,KCCY,Charles City Municipal Airport,CCY,1,43.066667,-92.683333,,
CDE_00,1411,CCZ,MYBC,Chub Cay Airport,CCZ,1,25.4175,-77.881389,,
CDF_00,1412,CDA,YCOO,Cooinda Airport,CDA,1,-12.905278,132.5225,,
CDG_00,1413,CDB,PACD,Cold Bay Airport,CDB,1,55.198716,-162.721354,,
CDG_01,1414,CDC,KCDC,Cedar City Airport,CDC,1,37.7025,-113.096111,,
CDG_03,1415,CDD,,Cauquira Airport,CDD,1,15.322222,-83.602778,,
CDG_2A,1416,CDE,,Puning Airport,CDE,1,41.123079,118.07135,,
CDG_2B,1417,CDF,,Fiames Airport,CDF,0,46.533333,12.133333,,
CDG_2C,1418,CDG,LFPG,Charles de Gaulle Airport,PAR,1,49.003196,2.567023,,
CDG_2D,1419,CDG,LFPG,Charles de Gaulle Airport,PAR,1,49.003196,2.567023,,
CDG_2E,1420,CDG,LFPG,Charles de Gaulle Airport,PAR,1,49.003196,2.567023,,
CDG_2F,1421,CDG,LFPG,Charles de Gaulle Airport,PAR,1,49.003196,2.567023,,
CDG_2G,1422,CDG,LFPG,Charles de Gaulle Airport,PAR,1,49.003196,2.567023,,
CDG_TN,1423,CDG,LFPG,Charles de Gaulle Airport,PAR,1,49.003196,2.567023,,
CDH_00,1424,CDG,LFPG,Charles de Gaulle Airport,PAR,1,49.003196,2.567023,,
CDI_00,1425,CDG,LFPG,Charles de Gaulle Airport,PAR,1,49.003196,2.567023,,
CDJ_00,1426,CDG,LFPG,Charles de Gaulle Airport,PAR,1,49.003196,2.567023,,
CDK_00,1427,CDG,LFPG,Charles de Gaulle Airport,PAR,1,49.003196,2.567023,,
CDL_00,1428,CDG,LFPG,Charles de Gaulle Airport,PAR,1,49.003196,2.567023,,
CDM_00,1429,CDH,KCDH,Harrell Field,CDH,1,33.583333,-92.833333,,
CDN_00,1430,CDI,,Cachoeiro de Itapemirim Airport,CDI,1,-20.836111,-41.186944,,
CDO_00,1431,CDJ,SBAA,Conceicao Do Araguaia Airport,CDJ,1,-8.233333,-49.283333,,
CDP_00,1432,CDK,KCDK,Lewis Airport,CDK,1,29.133333,-83.033333,,
