TERMINALCODE,ID,AIRPORTIATACODE,AIRPORTICAOCODE,AIRPORTNAME,CITYCODE,ACTIVESTATUS,AIRPORTLATITUDE,AIRPORTLONGITUDE,LOAD_TIME
ACJ_00,69,ACJ,,Anuradhapura Airport,ACJ,1,8.35,80.383333,,
ACK_00,70,ACK,KACK,Nantucket Memorial Airport,ACK,1,41.256667,-70.059722,,
ACK_0M,71,ACK,KACK,Nantucket Memorial Airport,ACK,1,41.256667,-70.059722,,
ACK_CO,72,ACK,KACK,Nantucket Memorial Airport,ACK,1,41.256667,-70.059722,,
ACL_00,73,ACL,,Aguaclara Airport,ACL,1,4.75,-73,,
ACM_00,74,ACM,,Arica Airport,ACM,1,-2,-71.833333,,
ACN_00,75,ACN,MMCC,Ciudad Acuna International Airport,ACN,1,29.332855,-101.099371,,
ACO_00,76,ACO,,Ascona Airport,ACO,0,46.159444,8.783056,,
ACP_00,77,ACP,,Sahand Airport,ACP,1,37.347244,46.145116,,
ACQ_00,78,ACQ,,Alicante Bus Station,ALC,1,38.3375,0.491667,,
ACR_00,79,ACR,SKAC,Araracuara Airport,ACR,1,-0.600268,-72.399498,,
ACS_00,80,ACS,,Achinsk Airport,ACS,1,56.266667,90.566667,,
ACT_00,81,ACT,KACT,Waco Regional Airport,ACT,1,31.609132,-97.223217,,
ACU_00,82,ACU,,Achutupo Airport,ACU,1,9.189316,-77.994109,,
ACV_00,83,ACV,KACV,Arcata-Eureka Airport,ACV,1,40.970912,-124.106929,,
ACX_00,84,ACX,ZUYI,Xingyi Airport,ACX,1,25.085556,104.959444,,
ACY_00,85,ACY,KACY,Atlantic City International Airport,AIY,1,39.450701,-74.572233,,
ACZ_00,86,ACZ,OIZB,Zabol Airport,ACZ,1,31.087694,61.542245,,
ADA_00,87,ADA,LTAF,Adana Sakirpasa Airport,ADA,1,36.982185,35.280391,,
ADB_00,88,ADB,LTBJ,Izmir Adnan Menderes Airport,IZM,1,38.294403,27.147594,,
ADB_0D,89,ADB,LTBJ,Izmir Adnan Menderes Airport,IZM,1,38.294403,27.147594,,
ADB_0I,90,ADB,LTBJ,Izmir Adnan Menderes Airport,IZM,1,38.294403,27.147594,,
ADC_00,91,ADC,,Andakombe Airport,ADC,1,-7.137184,145.744795,,
ADD_00,92,ADD,HAAB,Addis Ababa Bole International Airport,ADD,1,8.983759,38.795899,,
ADD_01,93,ADD,HAAB,Addis Ababa Bole International Airport,ADD,1,8.983759,38.795899,,
ADD_02,94,ADD,HAAB,Addis Ababa Bole International Airport,ADD,1,8.983759,38.795899,,
ADE_00,95,ADE,OYAA,Aden International Airport,ADE,1,12.826116,45.037535,,
ADF_00,96,ADF,LTCP,Adiyaman Airport,ADF,1,37.75,38.266667,,
ADG_00,97,ADG,KADG,Lenawee County Airport,ADG,1,41.9,-84.033333,,
ADH_00,98,ADH,UEEA,Aldan Airport,ADH,1,58.601214,125.406095,,
ADI_00,99,ADI,FYAR,Arandis Airport,ADI,1,-22.4,15,,
ADJ_00,100,ADJ,OJAM,Marka International Airport,AMM,1,31.97533,35.98277,,
ADK_00,101,ADK,PADK,Adak Island Naval Station,ADK,1,51.882778,-176.644722,,
ADL_00,102,ADL,YPAD,Adelaide Airport,ADL,1,-34.938176,138.537351,,
ADL_01,103,ADL,YPAD,Adelaide Airport,ADL,1,-34.938176,138.537351,,
ADL_0R,104,ADL,YPAD,Adelaide Airport,ADL,1,-34.938176,138.537351,,
ADM_00,105,ADM,KADM,Ardmore Municipal Airport,ADM,1,34.303056,-97.019444,,
ADN_00,106,ADN,,Andes Airport,ADN,1,5.666667,-75.933333,,
ADO_00,107,ADO,YAMK,Andamooka Airport,ADO,1,-31.016667,137.15,,
ADP_00,108,ADP,VCCG,Ampara Airport,GOY,1,7.338118,81.626701,,
ADQ_00,109,ADQ,PADQ,Kodiak Benny Benson State Airport,ADQ,1,57.753887,-152.514408,,
ADR_00,110,ADR,KPHH,Andrews Airport,ADR,1,33.45,-79.566667,,
ADS_00,111,ADS,KADS,Addison Airport,DFW,1,32.966626,-96.842922,,
ADT_00,112,ADT,KADH,Ada Airport,ADT,1,34.8,-96.666667,,
ADU_00,113,ADU,OITL,Ardabil Airport,ADU,1,38.323826,48.42125,,
ADV_00,114,ADV,,Addeain Airport,ADV,1,11.40222,26.11861,,
ADW_00,115,ADW,KADW,Andrews Air Force Base,ADW,1,38.816667,-76.866667,,
ADX_00,116,ADX,EGQL,Leuchars Airport,ADX,1,56.366667,-2.866667,,
ADY_00,117,ADY,,Alldays Airport,ADY,1,-22.666667,29.05,,
ADZ_00,118,ADZ,SKSP,San Andres Gustavo Rojas Pinilla International Airport,ADZ,1,12.586047,-81.702208,,
AEA_00,119,AEA,,Abemama Airport,AEA,1,0.483333,173.85,,
AEB_00,120,AEB,ZGBS,Baise Bama Airport,AEB,1,23.719469,106.967772,,
AED_00,121,AED,,Aleneva Airport,AED,0,58.033333,-152.9,,
AEE_00,122,AEE,,Adareil Airport,AEE,1,10.05345,32.959534,,
AEG_00,123,AEG,WIME,Aekgodang Airport,AEG,1,1.400148,99.430407,,
AEH_00,124,AEH,FTTC,Abecher Airport,AEH,1,13.851389,20.850833,,
AEI_00,125,AEI,,Algeciras Rail Station,AEI,1,36.128898,-5.441301,,
AEJ_00,126,AEJ,,Ahmed Al Jab - Ahmed Al Jaber,AEJ,0,,,,
AEK_00,127,AEK,,Aseki Airport,AEK,1,-7.366667,146.283333,,
AEL_00,128,AEL,KAEL,Albert Lea Airport,AEL,1,43.65,-93.366667,,
AEM_00,129,AEM,,Amgu Airport,AEM,1,45.841667,137.678333,,
AEO_00,130,AEO,GQNA,Aioun El Atrouss Airport,AEO,1,16.709167,-9.635556,,
AEP_00,131,AEP,SABE,Jorge Newbery Airport,BUE,1,-34.556221,-58.41667,,
AEQ_00,132,AEQ,,Ar Horqin Airport,CIF,1,43.908056,120.150278,,
AER_00,133,AER,URSS,Sochi International Airport,AER,1,43.44884,39.941106,,
AES_00,134,AES,ENAL,Vigra Alesund Airport,AES,1,62.559644,6.116605,,
AET_00,135,AET,,Allakaket Airport,AET,1,66.553651,-152.610527,,
AEU_00,136,AEU,OIBA,Abu Musa Airport,AEU,1,25.875475,55.033913,,
AEX_00,137,AEX,KAEX,Alexandria International Airport,AEX,1,31.322573,-92.542568,,
AEY_00,138,AEY,BIAR,Akureyri Airport,AEY,1,65.654567,-18.075068,,
AFA_00,139,AFA,SAMR,San Rafael Airport,AFA,1,-34.589167,-68.400556,,
AFD_00,140,AFD,FAPA,Port Alfred Airport,AFD,1,-33.583333,26.883333,,
AFF_00,141,AFF,KAFF,United States Air Force Academy Airport,COS,1,38.972,-104.822,,
AFI_00,142,AFI,,Amalfi Airport,AFI,1,6.916667,-75.066667,,
AFK_00,143,AFK,,Kondavattavan Tank Sea Plane Base,ADP,1,7.291944444,81.63527778,,
AFL_00,144,AFL,SBAT,Alta Floresta Airport,AFL,1,-9.872456,-56.104768,,
AFN_00,145,AFN,KAFN,Jaffrey Municipal Airport,AFN,1,42.833333,-72.066667,,
AFO_00,146,AFO,KAFO,Afton Municipal Airport,AFO,1,42.733333,-110.933333,,
AFR_00,147,AFR,,Afore Airport,AFR,1,-9.133333,148.383333,,
AFS_00,148,AFS,UTSN,Zarafshan Airport,AFS,1,41.613611,64.233056,,
AFT_00,149,AFT,,Afutara Aerodrome,AFT,1,-9.2,160.85,,
AFU_00,150,AFU,,Al Udeid - Al Udeid,AFU,0,,,,
AFW_00,151,AFW,KAFW,Fort Worth Alliance Airport,FTW,1,32.985651,-97.315295,,
AFY_00,152,AFY,LTAH,Afyon Airport,AFY,1,38.733333,30.6,,
AFZ_00,153,AFZ,,Sabzevar Airport,AFZ,1,36.171512,57.60332,,
AGA_00,154,AGA,GMAD,Agadir Al Massira Airport,AGA,1,30.328562,-9.410592,,
AGB_00,155,AGB,EDMA,Augsburg Airport,AGB,1,48.425278,10.931667,,
AGC_00,156,AGC,KAGC,Allegheny County Airport,PIT,1,40.354722,-79.93,,
AGD_00,157,AGD,,Anggi Airport,AGD,1,-1.383333,133.866667,,
AGE_00,158,AGE,EDWG,Flugplatz Airport,AGE,1,53.783333,7.916667,,
AGF_00,159,AGF,LFBA,La Garenne Airport,AGF,1,44.173611,0.598611,,
AGG_00,160,AGG,,Angoram Airport,AGG,1,-4.168611,144.073889,,
AGH_00,161,AGH,ESDB,Angelholm Helsingborg Airport,AGH,1,56.287066,12.867092,,
AGI_00,162,AGI,,Wageningen Airport,AGI,1,5.833333,-56.833333,,
AGJ_00,163,AGJ,RORA,Aguni Airport,AGJ,1,26.589722,127.238056,,
AGK_00,164,AGK,,Kagua Airport,AGK,1,-6.403333,143.846667,,
AGL_00,165,AGL,,Wanigela Airport,AGL,1,-9.340278,149.155278,,
AGM_00,166,AGM,BGAM,Ammassalik Heliport,AGM,1,65.612256,-37.61831,,
AGN_00,167,AGN,,Angoon Seaplane Base,AGN,1,57.496784,-134.568858,,
AGO_00,168,AGO,KAGO,Magnolia Municipal Airport,AGO,1,33.266667,-93.233333,,
AGP_00,169,AGP,LEMG,Malaga Airport,AGP,1,36.675181,-4.489616,,
AGP_01,170,AGP,LEMG,Malaga Airport,AGP,1,36.675181,-4.489616,,
AGP_02,171,AGP,LEMG,Malaga Airport,AGP,1,36.675181,-4.489616,,
AGP_03,172,AGP,LEMG,Malaga Airport,AGP,1,36.675181,-4.489616,,
AGQ_00,173,AGQ,LGAG,Agrinion Airport,AGQ,1,38.604167,21.351944,,
AGR_00,174,AGR,VIAG,Kheria Airport,AGR,1,27.158333,77.962778,,
AGS_00,175,AGS,KAGS,Augusta Regional Airport,AGS,1,33.373666,-81.973438,,
AGT_00,176,AGT,SGES,Guarani International Airport,AGT,1,-25.455507,-54.843581,,
AGU_00,177,AGU,MMAS,Jesus Teran Peredo International Airport,AGU,1,21.705535,-102.317818,,
AGV_00,178,AGV,SVAC,Acarigua Airport,AGV,1,9.552222,-69.233333,,
AGW_00,179,AGW,,Agnew Airport,AGW,1,-12.15,142.15,,
AGX_00,180,AGX,VOAT,Agatti Island Airport,AGX,1,10.828967,72.179874,,
AGY_00,181,AGY,,Munich Augsburg Hbf Rail Station,AGY,1,48.36555556,10.88638889,,
AGZ_00,182,AGZ,,Aggeneys Airport,AGZ,1,-29.05,18.85,,
AHA_00,183,AHA,,Naha Air Force Base,OKA,0,26.2,127.65,,
AHB_00,184,AHB,OEAB,Abha Regional Airport,AHB,1,18.23429,42.657575,,
AHC_00,185,AHC,KAHC,Amedee Army Air Field,AHC,1,40.15,-120.133333,,
AHD_00,186,AHD,,Ardmore Downtown Executive Airport,ADM,1,34.146941,-97.122714,,
AHE_00,187,AHE,,Ahe Airport,AHE,1,-14.428056,-146.256944,,
AHF_00,188,AHF,,Arapahoe Municipal Airport,AHF,1,40.3,-99.9,,
AHH_00,189,AHH,KAHH,Amery Municipal Airport,AHH,1,45.3,-92.35,,
AHI_00,190,AHI,,Amahai Airport,AHI,1,-3.333333,128.916667,,
AHJ_00,191,AHJ,ZUHY,Hongyuan Airport,AHJ,1,32.527401,102.357396,,
AHL_00,192,AHL,SYAH,Aishalton Airport,AHL,1,2.483333,-59.316667,,
AHM_00,193,AHM,,Ashland - Sumner Parker Fi,AHM,1,42.19027778,-122.6605556,,
AHN_00,194,AHN,KAHN,Athens-Ben Epps Airport,AHN,1,33.951951,-83.324725,,
AHO_00,195,AHO,LIEA,Alghero-Fertilia Airport,AHO,1,40.630405,8.295891,,
AHS_00,196,AHS,,Ahuas Airport,AHS,1,15.441667,-84.425,,
AHT_00,197,AHT,,Amchitka Airport,AHT,0,51.5,179,,
AHU_00,198,AHU,GMTA,Charif Al Idrissi Airport,AHU,1,35.179722,-3.836944,,
AHW_00,199,AHW,,Saih Rawl,AHW,1,21.34277778,56.76555556,,
AHY_00,200,AHY,,Ambatolahy Airport,AHY,1,-20.016667,45.533333,,
AHZ_00,201,AHZ,,Alpe D Huez Airport,AHZ,1,45.083333,6.083333,,
AIA_00,202,AIA,KAIA,Alliance Airport,AIA,1,42.051667,-102.806667,,
AIB_00,203,AIB,,Anita Bay Airport,AIB,0,56.233333,-132.383333,,
AIC_00,204,AIC,,Ailinglapalap Airok Airport,AIC,1,7.279167,168.825556,,
AID_00,205,AID,KAID,Anderson Municipal Airport,AID,1,40.166667,-85.683333,,
AIE_00,206,AIE,,Aiome Airport,AIE,1,-5.166667,144.666667,,
AIF_00,207,AIF,SBAS,Assis Airport,AIF,1,-22.666667,-50.416667,,
AIG_00,208,AIG,FEFY,Yalinga Airport,AIG,1,6.516667,23.25,,
AIH_00,209,AIH,,Aiambak Airport,AIH,1,-7.348611,141.266389,,
AII_00,210,AII,,Ali-Sabieh Airport,AII,1,11.15,42.716667,,
AIK_00,211,AIK,KAIK,Aiken Municipal Airport,AIK,1,33.649014,-81.684066,,
AIL_00,212,AIL,,Ailigandi Airport,AIL,1,9.25,-78.083333,,
AIM_00,213,AIM,,Ailuk Island Airport,AIM,1,10.2,169.983333,,
AIN_00,214,AIN,PAWT,Wainwright Airport,AIN,1,70.61361111,-159.8669444,,
AIO_00,215,AIO,KAIO,Atlantic Municipal Airport,AIO,1,41.4,-95.016667,,
AIP_00,216,AIP,,Adampur Airport,AIP,1,31.433056,75.760556,,
AIR_00,217,AIR,,Aripuana Airport,AIR,1,-10.25,-59.383333,,
AIS_00,218,AIS,,Arorae Island Airport,AIS,1,-2.65,176.833333,,
AIT_00,219,AIT,NCAI,Aitutaki Airport,AIT,1,-18.829443,-159.766992,,
AIU_00,220,AIU,NCAT,Atiu Island Airport,AIU,1,-19.967872,-158.119014,,
AIV_00,221,AIV,KAIV,George Downer Airport,AIV,1,33.133333,-88.15,,
AIW_00,222,AIW,,Ai-Ais Airport,AIW,1,-27.983333,17.583333,,
AIX_00,223,AIX,,Aix-en-Provence Daix Bus St,AIX,1,45.68833333,5.909444444,,
AIY_00,224,AIY,KAIY,Bader Field,AIY,0,39.36,-74.457222,,
AIZ_00,225,AIZ,KAIZ,Lee C Fine Memorial Airport,AIZ,1,38.098333,-92.547222,,
AJA_00,226,AJA,LFKJ,Ajaccio Napoleon Bonaparte Airport,AJA,1,41.919867,8.794013,,
AJF_00,227,AJF,OESK,Jouf Airport,AJF,1,29.788668,40.101486,,
AJI_00,228,AJI,LTCO,Agri Airport,AJI,1,39.65,43.025,,
AJJ_00,229,AJJ,GQNJ,Akjoujt Airport,AJJ,1,19.730556,-14.374444,,
AJK_00,230,AJK,OIHR,Arak Airport,AJK,1,34.134875,49.842483,,
AJL_00,231,AJL,VEAZ,Aizawl Airport,AJL,1,23.838986,92.624815,,
AJN_00,232,AJN,FMCV,Ouani Airport,AJN,1,-12.131109,44.430473,,
AJO_00,233,AJO,,Aljouf Airport,AJO,0,15.716667,44.25,,
AJR_00,234,AJR,ESNX,Arvidsjaur Airport,AJR,1,65.591389,19.285556,,
AJS_00,235,AJS,,Abreojos Airport,AJS,1,26.833333,-113.666667,,
AJU_00,236,AJU,SBAR,Aracaju Airport,AJU,1,-10.987206,-37.072791,,
AJY_00,237,AJY,DRZA,Manu Dayak International Airport,AJY,1,16.964167,7.993056,,
AKA_00,238,AKA,,Ankang Airport,AKA,1,32.7091,108.936,,
AKB_00,239,AKB,,Atka Airport,AKB,1,52.217222,-174.200833,,
AKC_00,240,AKC,KAKR,Akron Fulton International Airport,CAK,1,41.035899,-81.468098,,
AKD_00,241,AKD,VAAK,Akola Airport,AKD,1,20.666667,77.083333,,
AKE_00,242,AKE,,Akieni Airport,AKE,1,-1.172222,13.916667,,
AKF_00,243,AKF,HLKF,Kufra Airport,AKF,1,24.183924,23.320841,,
AKG_00,244,AKG,,Anguganak Airport,AKG,1,-3.633333,142.016667,,
AKH_00,245,AKH,OEKJ,Prince Sultan Air Base,AKH,1,24.063333,47.580556,,
AKI_00,246,AKI,,Akiak Airport,AKI,1,60.905556,-161.223333,,
AKJ_00,247,AKJ,RJEC,Asahikawa Airport,AKJ,1,43.671091,142.454546,,
AKK_00,248,AKK,,Akhiok Sea Plane Base,AKK,1,56.944444,-154.166667,,
AKL_00,249,AKL,NZAA,Auckland International Airport,AKL,1,-37.004786,174.783524,,
AKL_0D,250,AKL,NZAA,Auckland International Airport,AKL,1,-37.004786,174.783524,,
AKL_0I,251,AKL,NZAA,Auckland International Airport,AKL,1,-37.004786,174.783524,,
AKL_ZQ,252,AKL,NZAA,Auckland International Airport,AKL,1,-37.004786,174.783524,,
AKM_00,253,AKM,,Zakouma Airport,AKM,1,10.883333,19.816667,,
AKN_00,254,AKN,PAKN,King Salmon Airport,AKN,1,58.682741,-156.669016,,
AKO_00,255,AKO,KAKO,Colorado Plains Rgnl,AKO,1,40.166667,-103.216667,,
AKP_00,256,AKP,PAKP,Anaktuvuk Airport,AKP,1,68.1375,-151.74,,
AKQ_00,257,AKQ,,Gunung Batin Airport,AKQ,1,-4.616667,105.233333,,
AKR_00,258,AKR,DNAK,Akure Airport,AKR,1,7.250303,5.300223,,
AKS_00,259,AKS,AGGA,Gwaunaru/u Airport,AKS,1,-8.70428,160.681469,,
AKT_00,260,AKT,LCRA,Akrotiri RAF Station,AKT,1,34.590395,32.987887,,
AKU_00,261,AKU,ZWAK,Aksu Airport,AKU,1,41.259984,80.292618,,
AKV_00,262,AKV,CYKO,Akulivik Airport,AKV,1,60.733333,-78.583333,,
AKW_00,263,AKW,OIAG,Aghajari Airport,AKW,1,30.75,49.683333,,
AKX_00,264,AKX,UATT,Aktobe Airport,AKX,1,50.249336,57.211403,,
AKY_00,265,AKY,VYSW,Sittwe Civil Airport,AKY,1,20.130278,92.880278,,
ALA_00,266,ALA,UAAA,Almaty Airport,ALA,1,43.346652,77.011455,,
ALB_00,267,ALB,KALB,Albany International Airport,ALB,1,42.745279,-73.809556,,
ALC_00,268,ALC,LEAL,Alicante-Elche Airport,ALC,1,38.287098,-0.557381,,
ALC_01,269,ALC,LEAL,Alicante-Elche Airport,ALC,1,38.287098,-0.557381,,
ALC_02,270,ALC,LEAL,Alicante-Elche Airport,ALC,1,38.287098,-0.557381,,
ALC_03,271,ALC,LEAL,Alicante-Elche Airport,ALC,1,38.287098,-0.557381,,
ALD_00,272,ALD,SPAR,Alerta Airport,ALD,1,-11.683333,-69.333333,,
ALE_00,273,ALE,,Alpine-Casparis Municipal Airport,ALE,1,30.3871,-103.680778,,
ALF_00,274,ALF,ENAT,Alta Airport,ALF,1,69.977167,23.355809,,
ALG_00,275,ALG,DAAG,Houari Boumediene Airport,ALG,1,36.697892,3.207136,,
ALG_03,276,ALG,DAAG,Houari Boumediene Airport,ALG,1,36.697892,3.207136,,
ALG_0D,277,ALG,DAAG,Houari Boumediene Airport,ALG,1,36.697892,3.207136,,
ALG_0I,278,ALG,DAAG,Houari Boumediene Airport,ALG,1,36.697892,3.207136,,
ALG_0W,279,ALG,DAAG,Houari Boumediene Airport,ALG,1,36.697892,3.207136,,
ALH_00,280,ALH,YABA,Albany Airport,ALH,1,-34.944997,117.804001,,
ALI_00,281,ALI,KALI,Alice International Airport,ALI,1,27.7409,-98.026901,,
ALJ_00,282,ALJ,FAAB,Alexander Bay Airport,ALJ,1,-28.574996,16.53333,,
ALK_00,283,ALK,,Asela Airport,ALK,1,7.966667,39.116667,,
ALL_00,284,ALL,LIMG,Albenga Airport,ALL,1,44.05,8.216667,,
ALM_00,285,ALM,KALM,Alamogordoâ€“White Sands Regional Airport,ALM,1,32.845833,-105.985278,,
ALN_00,286,ALN,KALN,St. Louis Regional Airport,ALN,1,38.891667,-90.048333,,
ALO_00,287,ALO,KALO,Waterloo Airport,ALO,1,42.556111,-92.399722,,
ALP_00,288,ALP,OSAP,Aleppo International Airport,ALP,1,36.185351,37.227073,,
ALQ_00,289,ALQ,SSAL,G.Machado Ramos Airport,ALQ,1,-29.799722,-55.763333,,
ALR_00,290,ALR,NZLX,Alexandra Airport,ALR,1,-45.213889,169.369444,,
ALS_00,291,ALS,KALS,Alamosa Municipal Airport,ALS,1,37.436667,-105.866667,,
ALT_00,292,ALT,,Alenquer Airport,ALT,1,-1.933333,-54.766667,,
ALU_00,293,ALU,HCMA,Alula Airport,ALU,1,11.966667,50.8,,
ALV_00,294,ALV,,Andorra La Vella Heliport,ALV,1,42.5,1.516667,,
ALW_00,295,ALW,KALW,Walla Walla Airport,ALW,1,46.094722,-118.291111,,
ALX_00,296,ALX,KALX,Thomas C Russell Field,ALX,1,32.933333,-85.95,,
ALY_00,297,ALY,HEAX,El Nohza Airport,ALY,1,31.192545,29.953059,,
ALZ_00,298,ALZ,,Alitak Sea Plane Base,ALZ,1,56.897686,-154.248486,,
AMA_00,299,AMA,KAMA,Rick Husband Amarillo International Airport,AMA,1,35.218274,-101.705134,,
AMB_00,300,AMB,FMNE,Ambilobe Airport,AMB,1,-13.183333,48.983333,,
AMC_00,301,AMC,FTTN,Am Timan Airport,AMC,1,11.033333,20.283333,,
AMD_00,302,AMD,VAAH,Ahmedabad Airport,AMD,1,23.066389,72.624167,,
AMD_01,303,AMD,VAAH,Ahmedabad Airport,AMD,1,23.066389,72.624167,,
AMD_02,304,AMD,VAAH,Ahmedabad Airport,AMD,1,23.066389,72.624167,,
AME_00,305,AME,,Alto Molocue Airport,AME,1,-15.833333,37.583333,,
AMF_00,306,AMF,,Ama Airport,AMF,1,-4.166667,141.666667,,
AMG_00,307,AMG,,Amboin Airport,AMG,1,-4.616667,143.7,,
