AIRLINEIATACODE,ID,AIRLINENAME,BIZMODEL,ACTIVESTATUS,GROUPNAME,HUBAIRPORTIATACODE,COUNTRYCODE,STARTDATE,ENDDATE,LOAD_TIME
4T,66,Transwest Air,Regional/Commuter,1,,YPA,CA,01/01/2000,31/12/2199,
4V,67,Fly Gangwon,Low Cost Carrier,1,,YNY,KR,22/11/2019,31/12/2199,
4W,68,Warbelow'S Air Ventures,Regional/Commuter,1,,FAI,US,01/01/2000,31/12/2199,
4Z,69,Airlink (South Africa),Regional/Commuter,1,,JNB,ZA,01/01/2000,31/12/2199,
5A,70,Alpine Aviation,Regional/Commuter,1,,PVU,US,01/01/2000,31/12/2199,
5B,71,Bassaka Air,Charter,1,,PNH,KH,01/01/2000,31/12/2199,
5D,72,Aeromexico Connect,Regional/Commuter,1,Aeromexico Group,MTY,MX,01/01/2000,31/12/2199,
5F,73,Alajnihah Airways,,1,,TIP,LY,01/01/2000,31/12/2199,
5F,74,Flyone,Full Service Carrier,1,,KIV,MD,10/06/2016,31/12/2199,
5G,75,Mayair,Regional/Commuter,0,,CUN,MX,01/01/2000,31/12/2199,
5H,76,Fly540,Low Cost Carrier,1,,NBO,KE,01/01/2000,31/12/2199,
5I,77,Alsa Grupo Slu,Other,1,,,ES,01/01/2000,31/12/2199,
5J,78,Cebu Pacific,Low Cost Carrier,1,Cebu Pacific Group,MNL,PH,01/01/2000,31/12/2199,
5K,79,Hi Fly,Charter,1,,LIS,PT,01/01/2000,31/12/2199,
5L,80,Transportes Aereos Costarricenses,Regional/Commuter,1,,,CR,01/01/2000,31/12/2199,
5M,81,Mediterranean Aviation Company Ltd,Other,1,,,MT,01/01/2000,31/12/2199,
5M,82,Flymontserrat,Regional/Commuter,1,,MNI,MS,01/01/2000,31/12/2199,
5N,83,Nordavia,Regional/Commuter,1,,ARH,RU,01/01/1963,31/12/2199,
5O,84,Asl Airlines France,Full Service Carrier,1,Asl Aviation Holdings,CDG,FR,01/01/2000,31/12/2199,
5Q,85,Holiday Europe,Charter,1,,SOF,BG,24/08/2019,31/12/2199,
5R,86,Rutaca,Full Service Carrier,1,,CBL,VE,01/01/2000,31/12/2199,
5S,87,Global Air Transport,Charter,1,,MJI,LY,01/01/2000,31/12/2199,
5S,88,Sap,Charter,1,,JBQ,DO,01/01/2000,31/12/2199,
5T,89,Canadian North,Regional/Commuter,1,,YZF,CA,01/01/2014,31/12/2199,
5U,90,Transportes Aereos Guatemaltecos,Full Service Carrier,1,,GUA,GT,01/01/2000,31/12/2199,
5W,91,Wizz Air Abu Dhabi,Low Cost Carrier,1,Wizz Air Group,AUH,AE,15/01/2021,31/12/2199,
5Z,92,Cemair,Charter,1,,JNB,ZA,01/01/2000,31/12/2199,
6A,93,Armenia Airways Cjsc,Full Service Carrier,1,,EVN,AM,01/06/2016,31/12/2199,
6B,94,Tuifly Nordic Ab,Charter,1,Tui Group,ARN,SE,01/01/2000,31/12/2199,
6D,95,Smartwings Slovakia,Charter,1,Smartwings Group,BTS,SK,01/01/2000,31/12/2199,
6E,96,Indigo,Low Cost Carrier,1,,DEL,IN,01/01/2000,31/12/2199,
6G,97,Go2Sky,Charter,1,,BTS,SK,01/01/2000,31/12/2199,
6H,98,Israir Airlines,Full Service Carrier,1,,,IL,01/01/2000,31/12/2199,
6I,99,Air Alsie,Charter,1,,SGD,DK,01/01/2000,31/12/2199,
6J,100,Solaseed Air,Low Cost Carrier,1,,HND,JP,03/07/1997,31/12/2199,
6L,101,Aklak,Regional/Commuter,1,,YEV,CA,01/01/2000,31/12/2199,
6N,102,Niger Airlines,Regional/Commuter,1,,NIM,NE,04/05/2014,31/12/2199,
6O,103,Orbest Portugal,Charter,1,BarcelÃ³ Grupo,LIS,PT,01/01/2000,31/12/2199,
6Q,104,Cham Wings Airlines,Full Service Carrier,1,,DAM,SY,01/01/2000,31/12/2199,
6R,105,Alrosa Mirny Air Enterprise,Regional/Commuter,1,,MJZ,RU,01/01/2000,31/12/2199,
6S,106,Saudigulf Airlines,Full Service Carrier,1,,DMM,SA,29/10/2016,31/12/2199,
6T,107,Longtail Aviation International,Charter,1,,,BM,01/01/2000,31/12/2199,
6V,108,Mars Rk,Charter,1,,IEV,UA,01/01/2001,31/12/2199,
6W,109,Flybosnia,Full Service Carrier,1,,SJJ,BA,03/06/2019,31/12/2199,
6X,110,Air Odisha,Charter,1,,BBI,IN,01/01/2011,31/12/2199,
6Y,111,Smartlynx Airlines,Charter,1,,RIX,LV,01/01/2000,31/12/2199,
7C,112,Jeju Air,Low Cost Carrier,1,,CJU,KR,01/01/2000,31/12/2199,
7E,113,Sylt Air,Regional/Commuter,1,,GWT,DE,01/01/2000,31/12/2199,
7F,114,First Air,Regional/Commuter,1,,YZF,CA,01/01/2000,31/12/2199,
7G,115,Starflyer,Full Service Carrier,1,,HND,JP,17/12/2002,31/12/2199,
7H,116,Ravn Alaska,Regional/Commuter,1,,ANC,US,01/01/2000,31/12/2199,
7I,117,Air Libya,Charter,1,,BEN,LY,01/01/2000,31/12/2199,
7J,118,Tajik Air,Full Service Carrier,1,,DYU,TJ,01/01/2000,31/12/2199,
7M,119,Map Linhas Aereas,Charter,1,,MAO,BR,01/01/2000,31/12/2199,
7N,120,Metrojets,Other,1,,,US,01/01/2000,31/12/2199,
7N,121,Pawa Dominicana,Regional/Commuter,1,,SDQ,DO,15/08/2015,31/12/2199,
7O,122,Smartwings Hungary,Charter,1,Smartwings Group,BUD,HU,01/01/2000,31/12/2199,
7P,123,Air Panama,Full Service Carrier,1,,PAC,PA,01/01/2000,31/12/2199,
7Q,124,Elite Airways,Charter,1,,MLB,US,01/01/2000,31/12/2199,
7R,125,Rusline,Regional/Commuter,1,,DME,RU,02/06/1997,31/12/2199,
7T,126,Trenitalia S.P.A.,Other,1,,,IT,01/01/2000,31/12/2199,
7U,127,Commercial Aviation Services, Llc,Other,1,,,US,01/01/2000,31/12/2199,
7V,128,Federal Airlines,Charter,1,,JNB,ZA,01/01/2000,31/12/2199,
7W,129,Windrose Airlines,Regional/Commuter,1,Ukrainian Aviation Group,KBP,UA,28/10/2003,31/12/2199,
7Y,130,Mann Yadanarpon Airlines,Regional/Commuter,1,,RGN,MM,01/05/2014,31/12/2199,
7Z,131,Ez Air,Regional/Commuter,1,,BON,AN,23/12/2018,31/12/2199,
8B,132,Transnusa Air Services,Low Cost Carrier,1,,KOE,ID,01/01/2000,31/12/2199,
8C,133,Ati - Air Transport International,Charter,1,Air Transport Services Group Inc (Atsg),ILN,US,01/01/2000,31/12/2199,
8D,134,Fits Aviation,Full Service Carrier,1,,CMB,LK,01/01/2000,31/12/2199,
8D,135,Servant Air,Regional/Commuter,1,,ADQ,US,01/01/2000,31/12/2199,
8E,136,Bering Air,Regional/Commuter,1,,OTZ,US,01/01/2000,31/12/2199,
8F,137,Stp Airways,Full Service Carrier,1,,TMS,ST,01/01/2000,31/12/2199,
8G,138,Fly Mid Africa,Full Service Carrier,1,,BJL,GM,01/01/2000,31/12/2199,
8H,139,Bh Air,Charter,1,,SOF,BG,01/01/2000,31/12/2199,
8J,140,Ecojet,Regional/Commuter,1,,CBB,BO,30/10/2013,31/12/2199,
8K,141,Evas Air,Regional/Commuter,1,,YQX,CA,01/01/2000,31/12/2199,
8L,142,Lucky Air,Low Cost Carrier,1,Hainan Airlines Group,KMG,CN,01/01/2000,31/12/2199,
8M,143,Myanmar Airways International,Full Service Carrier,1,,RGN,MM,01/01/2000,31/12/2199,
8N,144,Regional Air Services,Regional/Commuter,1,,ARK,TZ,01/01/2000,31/12/2199,
8O,145,West Coast Air,Regional/Commuter,1,,CXH,CA,01/01/2000,31/12/2199,
8P,146,Pacific Coastal Airlines,Regional/Commuter,1,,YVR,CA,01/01/2000,31/12/2199,
8R,147,Regourd Aviation (Dba Amelia),,1,,,FR,01/01/2000,31/12/2199,
8T,148,Air Tindi Ltd,Regional/Commuter,1,,YZF,CA,01/01/2000,31/12/2199,
8U,149,Afriqiyah Airways,Full Service Carrier,1,,TIP,LY,01/01/2000,31/12/2199,
8V,150,Wright Air Service,Regional/Commuter,1,,FAI,US,01/01/2000,31/12/2199,
8W,151,Fly All Ways,Regional/Commuter,1,,PBM,SR,10/01/2016,31/12/2199,
8Y,152,Pan Pacific Airlines,Full Service Carrier,1,,KLO,PH,27/04/2017,31/12/2199,
8Z,153,Congo Airways,Full Service Carrier,1,,FIH,CD,09/10/2015,31/12/2199,
9A,154,Gca Air,Full Service Carrier,1,,CLO,CO,29/11/2019,31/12/2199,
9B,155,Accesrail Inc.,Other,1,,,CA,01/01/2000,31/12/2199,
9C,156,Spring Airlines,Low Cost Carrier,1,,SHA,CN,18/07/2005,31/12/2199,
9D,157,Genghis Khan Airlines,Regional/Commuter,1,,HET,CN,26/07/2019,31/12/2199,
9E,158,Endeavor Air,Regional/Commuter,1,Delta Air Lines Inc.,MSP,US,01/01/2000,31/12/2199,
9F,159,Eurostar International,Other,1,,,GB,01/01/2000,31/12/2199,
9H,160,Air Changan,Full Service Carrier,1,Hainan Airlines Group,XIY,CN,01/01/2000,31/12/2199,
9I,161,Alliance Air,Regional/Commuter,1,Air India Limited,DEL,IN,15/04/1996,31/12/2199,
9J,162,Dana Air,Full Service Carrier,1,,LOS,NG,10/11/2008,31/12/2199,
9K,163,Cape Air,Regional/Commuter,1,,BOS,US,01/01/2000,31/12/2199,
9L,164,Airtanker Services Limited,Other,1,,,GB,01/01/2000,31/12/2199,
9M,165,Central Mountain Air,Regional/Commuter,1,,YVR,CA,01/01/2000,31/12/2199,
9N,166,Tropic Air,Regional/Commuter,1,,SPR,BZ,01/01/2000,31/12/2199,
9Q,167,Caicos Express Airways,Charter,1,,PLS,TC,01/01/2000,31/12/2199,
9R,168,Satena,Regional/Commuter,1,,BOG,CO,01/01/2000,31/12/2199,
9U,169,Air Moldova,Full Service Carrier,1,,KIV,MD,01/01/2000,31/12/2199,
9V,170,Avior Airlines,Full Service Carrier,1,,BLA,VE,01/01/2000,31/12/2199,
9X,171,Southern Airways Express,Regional/Commuter,1,,MEM,US,29/05/2013,31/12/2199,
9Y,172,National Airways,Charter,1,,ADD,ET,01/01/2000,31/12/2199,
A1,173,A.P.G. Distribution System,,1,,,FR,01/03/2020,31/12/2199,
A2,174,Anima Wings Aviation,Charter,1,Aegean Airlines Group,BBU,RO,18/07/2020,31/12/2199,
A3,175,Aegean Airlines,Full Service Carrier,1,Aegean Airlines Group,ATH,GR,01/01/2000,31/12/2199,
A4,176,Azimut Airlines,Regional/Commuter,1,,ROV,RU,21/09/2017,31/12/2199,
A5,177,Hop!,Full Service Carrier,1,Air France-Klm S.A.,LYS,FR,31/03/2013,31/12/2199,
A6,178,Air Travel,Full Service Carrier,1,,CSX,CN,21/05/2016,31/12/2199,
A7,179,Aereo Calafia,Regional/Commuter,1,,SJD,MX,01/01/2000,31/12/2199,
A8,180,Aerolink Uganda Ltd,Regional/Commuter,1,,,UG,01/01/2000,31/12/2199,
