REGIONCODE,ID,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,LOAD_TIME
FRLAN,143,WEUR,Occitania,Western Europe,EU,Europe,1,
BR_PE,144,SAME,Pernambuco,South America,AM,America,1,
INAND,145,SASI,Andaman and Nicobar Islands,South Asia,AS,Asia,1,
AUACT,146,OCEA,Australia Capital Territory,Oceania,OC,Oceania,1,
DEBRA,147,WEUR,Brandenburg,Western Europe,EU,Europe,1,
CNDON,148,NEAS,Shandong,North East Asia,AS,Asia,1,
INKER,149,SASI,Kerala,South Asia,AS,Asia,1,
INWES,150,SASI,West Bengal,South Asia,AS,Asia,1,
BR_ES,151,SAME,Espirito Santo,South America,AM,America,1,
FRNOR,152,WEUR,Normandy,Western Europe,EU,Europe,1,
CA_AB,153,NAME,Alberta,North America,AM,America,1,
CA_BC,154,NAME,British Columbia,North America,AM,America,1,
GBWAL,155,NEUR,Wales,Northern Europe,EU,Europe,1,
CNHUN,156,NEAS,Hunan,North East Asia,AS,Asia,1,
CNJIL,157,NEAS,Jilin,North East Asia,AS,Asia,1,
CNNXI,158,NEAS,Shanxi,North East Asia,AS,Asia,1,
INTAM,159,SASI,Tamil Nadu,South Asia,AS,Asia,1,
CNCHO,160,NEAS,Chongqing,North East Asia,AS,Asia,1,
AR_FO,161,SAME,Formosa,South America,AM,America,1,
FRALS,162,WEUR,Grand-Est,Western Europe,EU,Europe,1,
AR_CH,163,SAME,Chaco,South America,AM,America,1,
AR_ER,164,SAME,Entre Rios,South America,AM,America,1,
AR_CD,165,SAME,Cordoba,South America,AM,America,1,
BR_PB,166,SAME,Paraiba,South America,AM,America,1,
AR_SF,167,SAME,Santa Fe,South America,AM,America,1,
DEXAE,168,WEUR,Saxony Anhalt,Western Europe,EU,Europe,1,
AR_CA,169,SAME,Catamarca,South America,AM,America,1,
AR_SC,170,SAME,Santa Cruz,South America,AM,America,1,
BR_AC,171,SAME,Acre,South America,AM,America,1,
CNHEN,172,NEAS,Heilongjiang,North East Asia,AS,Asia,1,
CA_NT,173,NAME,Northwest Territories,North America,AM,America,1,
INJHA,174,SASI,Jharkhand,South Asia,AS,Asia,1,
INBIH,175,SASI,Bihar,South Asia,AS,Asia,1,
INUTT,176,SASI,Uttrakhand,South Asia,AS,Asia,1,
INDEL,177,SASI,Delhi,South Asia,AS,Asia,1,
INARU,178,SASI,Arunachal Pradesh,South Asia,AS,Asia,1,
CNZHE,179,NEAS,Zhejiang,North East Asia,AS,Asia,1,
INHIM,180,SASI,Himachal Pradesh,South Asia,AS,Asia,1,
ESCTB,181,SEUR,Cantabria,Southern Europe,EU,Europe,1,
INASS,182,SASI,Assam,South Asia,AS,Asia,1,
INDAM,183,SASI,Daman and Diu,South Asia,AS,Asia,1,
INNAG,184,SASI,Nagaland,South Asia,AS,Asia,1,
CNGAN,185,NEAS,Gansu,North East Asia,AS,Asia,1,
US_DE,186,NAME,Delaware,North America,AM,America,1,
DESAX,187,WEUR,Saxony,Western Europe,EU,Europe,1,
ESNAV,188,SEUR,Navarre,Southern Europe,EU,Europe,1,
CNHUB,189,NEAS,Hubei,North East Asia,AS,Asia,1,
