AIRPORTIATACODE,ID,AIRPORTICAOCODE,TERMINALCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,AIRPORTLATITUDE,AIRPORTLONGITUDE,LOAD_TIME
ACC,55,DGAA,,Kotoka International Airport,ACC,Accra,GH,,Ghana,GHA,SAFR,,Subsaharan Africa,AF,Africa,1,5.60737,-0.171769,
ACD,56,SKAD,,Alcides Fernandez Airport,ACD,Acandi,CO,,Colombia,COL,SAME,,South America,AM,America,1,8.516667,-77.3,
ACE,57,GCRR,,Lanzarote Airport,ACE,Lanzarote,ES,ESCAN,Spain,ESP,SEUR,Canary Islands,Southern Europe,EU,Europe,1,28.950668,-13.609059,
ACF,58,,,Alaer Talimu Airport,ACF,Alaer,CN,CNXIN,China,CHN,NEAS,Xinjiang,North East Asia,AS,Asia,1,40.449444,81.2675,
ACH,59,LSZR,,St Gallen-Altenrhein Airport,ACH,Altenrhein,CH,,Switzerland,CHE,WEUR,,Western Europe,EU,Europe,1,47.483333,9.566667,
ACI,60,EGJA,,Alderney Airport,ACI,Alderney,GB,GBDEP,United Kingdom,GBR,NEUR,UK Crown Dependencies,Northern Europe,EU,Europe,1,49.706717,-2.21531,
ACJ,61,,,Anuradhapura Airport,ACJ,Anuradhapura,LK,,Sri Lanka,LKA,SASI,,South Asia,AS,Asia,1,8.35,80.383333,
ACK,62,KACK,,Nantucket Memorial Airport,ACK,Nantucket,US,US_MA,U.S.A.,USA,NAME,Massachusetts,North America,AM,America,1,41.256667,-70.059722,
ACL,63,,,Aguaclara Airport,ACL,Aguaclara,CO,,Colombia,COL,SAME,,South America,AM,America,1,4.75,-73,
ACM,64,,,Arica Airport,ACM,Arica,CO,,Colombia,COL,SAME,,South America,AM,America,1,-2,-71.833333,
ACN,65,MMCC,,Ciudad Acuna International Airport,ACN,Ciudad Acuna,MX,,Mexico,MEX,NAME,,North America,AM,America,1,29.332855,-101.099371,
ACP,66,,,Sahand Airport,ACP,Sahand,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,37.347244,46.145116,
ACQ,67,,,Alicante Bus Station,ALC,Alicante,ES,ESVAL,Spain,ESP,SEUR,Valencian Community,Southern Europe,EU,Europe,1,38.3375,0.491667,
ACR,68,SKAC,,Araracuara Airport,ACR,Araracuara,CO,,Colombia,COL,SAME,,South America,AM,America,1,-0.600268,-72.399498,
ACS,69,,,Achinsk Airport,ACS,Achinsk,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,56.266667,90.566667,
ACT,70,KACT,,Waco Regional Airport,ACT,Waco,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,31.609132,-97.223217,
ACU,71,,,Achutupo Airport,ACU,Achutupo,PA,,Panama,PAN,CAME,,Central America,AM,America,1,9.189316,-77.994109,
ACV,72,KACV,,Arcata-Eureka Airport,ACV,Arcata,US,US_CA,U.S.A.,USA,NAME,California,North America,AM,America,1,40.970912,-124.106929,
ACX,73,ZUYI,,Xingyi Airport,ACX,Xingyi,CN,CNGUI,China,CHN,NEAS,Guizhou,North East Asia,AS,Asia,1,25.085556,104.959444,
ACY,74,KACY,,Atlantic City International Airport,AIY,Atlantic City,US,US_NJ,U.S.A.,USA,NAME,New Jersey,North America,AM,America,1,39.450701,-74.572233,
ACZ,75,OIZB,,Zabol Airport,ACZ,Zabol,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,31.087694,61.542245,
ADA,76,LTAF,,Adana Sakirpasa Airport,ADA,Adana,TR,,Turkiye,TUR,SEUR,,Southern Europe,EU,Europe,1,36.982185,35.280391,
ADB,77,LTBJ,,Izmir Adnan Menderes Airport,IZM,Izmir,TR,,Turkiye,TUR,SEUR,,Southern Europe,EU,Europe,1,38.294403,27.147594,
ADC,78,,,Andakombe Airport,ADC,Andakombe,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-7.137184,145.744795,
ADD,79,HAAB,,Addis Ababa Bole International Airport,ADD,Addis Ababa,ET,,Ethiopia,ETH,SAFR,,Subsaharan Africa,AF,Africa,1,8.983759,38.795899,
ADE,80,OYAA,,Aden International Airport,ADE,Aden,YE,,Yemen,YEM,MIDE,,Middle East,AS,Asia,1,12.826116,45.037535,
ADF,81,LTCP,,Adiyaman Airport,ADF,Adiyaman,TR,,Turkiye,TUR,SEUR,,Southern Europe,EU,Europe,1,37.75,38.266667,
ADG,82,KADG,,Lenawee County Airport,ADG,Adrian,US,US_MI,U.S.A.,USA,NAME,Michigan,North America,AM,America,1,41.9,-84.033333,
ADH,83,UEEA,,Aldan Airport,ADH,Aldan,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,58.601214,125.406095,
ADI,84,FYAR,,Arandis Airport,ADI,Arandis,NA,,Namibia,NAM,SAFR,,Subsaharan Africa,AF,Africa,1,-22.4,15,
ADJ,85,OJAM,,Marka International Airport,AMM,Amman,JO,,Jordan,JOR,MIDE,,Middle East,AS,Asia,1,31.97533,35.98277,
ADK,86,PADK,,Adak Island Naval Station,ADK,Adak Island,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,51.882778,-176.644722,
ADL,87,YPAD,,Adelaide Airport,ADL,Adelaide,AU,AUSOA,Australia,AUS,OCEA,South Australia,Oceania,OC,Oceania,1,-34.938176,138.537351,
ADM,88,KADM,,Ardmore Municipal Airport,ADM,Ardmore,US,US_OK,U.S.A.,USA,NAME,Oklahoma,North America,AM,America,1,34.303056,-97.019444,
ADN,89,,,Andes Airport,ADN,Andes,CO,,Colombia,COL,SAME,,South America,AM,America,1,5.666667,-75.933333,
ADO,90,YAMK,,Andamooka Airport,ADO,Andamooka,AU,AUSOA,Australia,AUS,OCEA,South Australia,Oceania,OC,Oceania,1,-31.016667,137.15,
ADP,91,VCCG,,Ampara Airport,GOY,Gal Oya,LK,,Sri Lanka,LKA,SASI,,South Asia,AS,Asia,1,7.338118,81.626701,
ADQ,92,PADQ,,Kodiak Benny Benson State Airport,ADQ,Kodiak,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,57.753887,-152.514408,
ADR,93,KPHH,,Andrews Airport,ADR,Andrews,US,US_SC,U.S.A.,USA,NAME,South Carolina,North America,AM,America,1,33.45,-79.566667,
ADS,94,KADS,,Addison Airport,DFW,Dallas,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,32.966626,-96.842922,
ADT,95,KADH,,Ada Airport,ADT,Ada,US,US_OK,U.S.A.,USA,NAME,Oklahoma,North America,AM,America,1,34.8,-96.666667,
ADU,96,OITL,,Ardabil Airport,ADU,Ardabil,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,38.323826,48.42125,
ADV,97,,,Addeain Airport,ADV,Addeain,SD,,Sudan,SDN,NAFR,,North Africa,AF,Africa,1,11.40222,26.11861,
ADW,98,KADW,,Andrews Air Force Base,ADW,Camp Springs,US,US_MD,U.S.A.,USA,NAME,Maryland,North America,AM,America,1,38.816667,-76.866667,
ADX,99,EGQL,,Leuchars Airport,ADX,Saint Andrews,GB,GBSCO,United Kingdom,GBR,NEUR,Scotland,Northern Europe,EU,Europe,1,56.366667,-2.866667,
ADY,100,,,Alldays Airport,ADY,Alldays,ZA,,South Africa,ZAF,SAFR,,Subsaharan Africa,AF,Africa,1,-22.666667,29.05,
ADZ,101,SKSP,,San Andres Gustavo Rojas Pinilla International Airport,ADZ,San Andres Island,CO,,Colombia,COL,SAME,,South America,AM,America,1,12.586047,-81.702208,
AEA,102,,,Abemama Airport,AEA,Abemama Atoll,KI,,Kiribati,KIR,OCEA,,Oceania,OC,Oceania,1,0.483333,173.85,
AEB,103,ZGBS,,Baise Bama Airport,AEB,Baise,CN,CNGXI,China,CHN,NEAS,Guangxi,North East Asia,AS,Asia,1,23.719469,106.967772,
AEE,104,,,Adareil Airport,AEE,Adareil,SS,,South Sudan,SSD,NAFR,,North Africa,AF,Africa,1,10.05345,32.959534,
AEG,105,WIME,,Aekgodang Airport,AEG,South Tapanuli Regency,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,1.400148,99.430407,
AEH,106,FTTC,,Abecher Airport,AEH,Abecher,TD,,Chad,TCD,SAFR,,Subsaharan Africa,AF,Africa,1,13.851389,20.850833,
