CITYCODE,ID,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,LATITUDE_NUM,LONGITUDE_NUM,LOAD_TIME
ISW,3391,Wisconsin Rapids,US,US_WI,U.S.A.,USA,NAME,Wisconsin,North America,AM,America,1,44.39319,-89.81637,
ITA,3392,Itacoatiara,BR,BR_AM,Brazil,BRA,SAME,Amazonas,South America,AM,America,1,-3.1477898,-58.4461041,
ITB,3393,Itaituba,BR,BR_PA,Brazil,BRA,SAME,Para,South America,AM,America,1,-4.2625218,-55.9878139,
ITE,3394,Itubera,BR,BR_BA,Brazil,BRA,SAME,Bahia,South America,AM,America,1,-13.7360764,-39.1481058,
ITH,3395,Ithaca,US,US_NY,U.S.A.,USA,NAME,New York,North America,AM,America,1,42.44051,-76.49546,
ITI,3396,Itambacuri,BR,BR_MG,Brazil,BRA,SAME,Minas Gerais,South America,AM,America,1,-18.0391974,-41.6751876,
ITJ,3397,Itajai,BR,BR_SC,Brazil,BRA,SAME,Santa Catarina,South America,AM,America,1,-26.9046787,-48.6552979,
ITK,3398,Itokama,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-5.6816068,144.2489014,
OSA,3399,Osaka,JP,,Japan,JPN,NEAS,,North East Asia,AS,Asia,1,34.6937569,135.5014539,
ITN,3400,Itabuna,BR,BR_BA,Brazil,BRA,SAME,Bahia,South America,AM,America,1,-14.793173,-39.2750341,
ITO,3401,Hilo,US,US_HI,U.S.A.,USA,NAME,Hawaii,North America,AM,America,1,33.85920875,-118.3788819,
ITP,3402,Itaperuna,BR,BR_RJ,Brazil,BRA,SAME,Rio de Janeiro,South America,AM,America,1,-21.1934,-41.8995,
ITQ,3403,Itaqui,BR,BR_RS,Brazil,BRA,SAME,Rio Grande do Sul,South America,AM,America,1,-29.1222037,-56.5551258,
ITR,3404,Itumbiara,BR,BR_GO,Brazil,BRA,SAME,Goias,South America,AM,America,1,-18.4135862,-49.2172596,
TRN,3405,Turin,IT,,Italy,ITA,SEUR,,Southern Europe,EU,Europe,1,45.0677551,7.6824892,
ITU,3406,Iturup Island,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,55.2375827,48.4184252,
IUE,3407,Niue Island,NU,,Niue,NIU,OCEA,,Oceania,OC,Oceania,1,-19.0522881,-169.85849,
IUI,3408,Innarsuit,GL,,Greenland,GRL,NEUR,,Northern Europe,EU,Europe,1,75.2833328,-56.0111084,
IUL,3409,Ilu,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-3.7017886,138.1983947,
IUO,3410,Xianning,CN,CNHUB,China,CHN,NEAS,Hubei,North East Asia,AS,Asia,1,29.8437545,114.3169418,
IUP,3411,Apui,BR,BR_AM,Brazil,BRA,SAME,Amazonas,South America,AM,America,1,-7.1940195,-59.8830192,
IUS,3412,Inus,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-5.727265,155.1697719,
IVA,3413,Ambanja,MG,,Madagascar,MDG,SAFR,,Subsaharan Africa,AF,Africa,1,-13.6758118,48.4527762,
IVC,3414,Invercargill,NZ,,New Zealand,NZL,OCEA,,Oceania,OC,Oceania,1,-46.4118465,168.3470632,
IVG,3415,Ivangrad,ME,,Montenegro,MNE,SEUR,,Southern Europe,EU,Europe,1,42.846826,19.8740451,
NMG,3416,San Miguel,PA,,Panama,PAN,CAME,,Central America,AM,America,1,8.4568617,-78.9370531,
IVL,3417,Ivalo,FI,,Finland,FIN,NEUR,,Northern Europe,EU,Europe,1,68.6588185,27.5348114,
IVO,3418,Chivolo,CO,,Colombia,COL,SAME,,South America,AM,America,1,10.0269357,-74.6208028,
IVR,3419,Inverell,AU,AUNSW,Australia,AUS,OCEA,New South Wales,Oceania,OC,Oceania,1,-29.43679805,151.1770693,
IVW,3420,Inverway,AU,AUNOT,Australia,AUS,OCEA,Northern Territory,Oceania,OC,Oceania,1,-17.84153,129.63242,
IWA,3421,Ivanovo,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,56.9984452,40.9737394,
IWD,3422,Ironwood,US,US_MI,U.S.A.,USA,NAME,Michigan,North America,AM,America,1,46.45552,-90.16407,
IWJ,3423,Masuda,JP,,Japan,JPN,NEAS,,North East Asia,AS,Asia,1,34.6748584,131.8428933,
IWK,3424,Iwakuni,JP,,Japan,JPN,NEAS,,North East Asia,AS,Asia,1,34.1664995,132.2191163,
IWO,3425,Iwoto (Iwo Jima),JP,,Japan,JPN,NEAS,,North East Asia,AS,Asia,1,24.78033005,141.3205867,
IXA,3426,Agartala,IN,INTRI,India,IND,SASI,Tripura,South Asia,AS,Asia,1,23.8312377,91.2823821,
IXB,3427,Bagdogra,IN,INWES,India,IND,SASI,West Bengal,South Asia,AS,Asia,1,26.6988847,88.3200303,
IXC,3428,Chandigarh,IN,INCHA,India,IND,SASI,Chandigarh,South Asia,AS,Asia,1,30.7334421,76.7797143,
IXD,3429,Allahabad,IN,INTTH,India,IND,SASI,Uttar Pradesh,South Asia,AS,Asia,1,25.4381302,81.8338005,
IXE,3430,Mangalore,IN,INKAR,India,IND,SASI,Karnataka,South Asia,AS,Asia,1,12.8698101,74.8430082,
IXG,3431,Belgaum,IN,INKAR,India,IND,SASI,Karnataka,South Asia,AS,Asia,1,15.8572666,74.5069343,
IXH,3432,Kailashahar,IN,INTRI,India,IND,SASI,Tripura,South Asia,AS,Asia,1,24.3194297,91.9984289,
IXI,3433,Lilabari,IN,INASS,India,IND,SASI,Assam,South Asia,AS,Asia,1,25.03787,87.32076,
IXJ,3434,Jammu,IN,INJAM,India,IND,SASI,Jammu & Kashmir,South Asia,AS,Asia,1,32.7185614,74.8580917,
IXK,3435,Keshod,IN,INGUJ,India,IND,SASI,Gujarat,South Asia,AS,Asia,1,21.30113,70.2524024,
IXL,3436,Leh,IN,INJAM,India,IND,SASI,Jammu & Kashmir,South Asia,AS,Asia,1,34.1642029,77.5848133,
